rank,event_id,risk_score,risk_level,priority,status,reasons,input_ioc_status,input_asset_criticality_label,input_asset_criticality_verified
1490,EVT00780,56.61,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
1491,EVT02205,56.61,Moderate,Review When Possible,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
1492,EVT03898,56.61,Moderate,Review When Possible,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
1493,EVT05717,56.6,Moderate,Review When Possible,Open,['Multiple failed login attempts'],No IOC Match,Unknown,False
1494,EVT01348,56.59,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
1495,EVT02750,56.59,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
1496,EVT04832,56.59,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
1497,EVT07513,56.58,Moderate,Review When Possible,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
1498,EVT01984,56.56,Moderate,Review When Possible,Open,"['High CVSS vulnerability', 'Multiple failed login attempts']",No IOC Match,Unknown,False
1499,EVT05199,56.56,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
1500,EVT00566,56.54,Moderate,Review When Possible,Open,['Multiple failed login attempts'],No IOC Match,Unknown,False
1501,EVT04507,56.53,Moderate,Review When Possible,Open,"['High CVSS vulnerability', 'Multiple failed login attempts']",No IOC Match,Unknown,False
1502,EVT05884,56.53,Moderate,Review When Possible,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
1503,EVT08925,56.52,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
1504,EVT04472,56.51,Moderate,Review When Possible,Open,"['High CVSS vulnerability', 'Multiple failed login attempts']",No IOC Match,Unknown,False
1505,EVT04328,56.5,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
1506,EVT03335,56.48,Moderate,Review When Possible,Open,['Multiple failed login attempts'],No IOC Match,Unknown,False
1507,EVT08986,56.48,Moderate,Review When Possible,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
1508,EVT03914,56.47,Moderate,Review When Possible,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
1509,EVT07264,56.47,Moderate,Review When Possible,Open,['Multiple failed login attempts'],No IOC Match,Unknown,False
1510,EVT07685,56.45,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
1511,EVT06018,56.44,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
1512,EVT00771,56.43,Moderate,Review When Possible,Open,['Multiple failed login attempts'],No IOC Match,Unknown,False
1513,EVT02961,56.43,Moderate,Review When Possible,Open,['Multiple failed login attempts'],No IOC Match,Unknown,False
1514,EVT02648,56.42,Moderate,Review When Possible,Open,"['High CVSS vulnerability', 'Multiple failed login attempts']",No IOC Match,Unknown,False
1515,EVT06030,56.42,Moderate,Review When Possible,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
1516,EVT02124,56.41,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
1517,EVT04563,56.41,Moderate,Review When Possible,Open,['Multiple failed login attempts'],No IOC Match,Unknown,False
1518,EVT08783,56.4,Moderate,Review When Possible,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
1519,EVT09284,56.39,Moderate,Review When Possible,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
1520,EVT00016,56.38,Moderate,Review When Possible,Open,['Multiple failed login attempts'],No IOC Match,Unknown,False
1521,EVT03809,56.38,Moderate,Review When Possible,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
1522,EVT03875,56.38,Moderate,Review When Possible,Open,['Multiple failed login attempts'],No IOC Match,Unknown,False
1523,EVT08708,56.38,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
1524,EVT00678,56.36,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
1525,EVT01760,56.36,Moderate,Review When Possible,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
1526,EVT02844,56.36,Moderate,Review When Possible,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
1527,EVT04627,56.36,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
1528,EVT05444,56.36,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
1529,EVT05964,56.36,Moderate,Review When Possible,Open,[],No IOC Match,High,True
1530,EVT07816,56.36,Moderate,Review When Possible,Open,"['High CVSS vulnerability', 'Multiple failed login attempts']",No IOC Match,Unknown,False
1531,EVT09462,56.36,Moderate,Review When Possible,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
1532,EVT06280,56.35,Moderate,Review When Possible,Open,[],No IOC Match,High,True
1533,EVT09446,56.35,Moderate,Review When Possible,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
1534,EVT01663,56.33,Moderate,Review When Possible,Open,['Multiple failed login attempts'],No IOC Match,Unknown,False
1535,EVT04943,56.32,Moderate,Review When Possible,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
1536,EVT05284,56.32,Moderate,Review When Possible,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
1537,EVT01360,56.31,Moderate,Review When Possible,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
1538,EVT02270,56.31,Moderate,Review When Possible,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
1539,EVT05380,56.31,Moderate,Review When Possible,Open,"['High CVSS vulnerability', 'Multiple failed login attempts']",No IOC Match,Unknown,False
1540,EVT02544,56.29,Moderate,Review When Possible,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
1541,EVT04920,56.29,Moderate,Review When Possible,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
1542,EVT02058,56.28,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
1543,EVT07579,56.28,Moderate,Review When Possible,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
1544,EVT00070,56.27,Moderate,Review When Possible,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
1545,EVT06512,56.27,Moderate,Review When Possible,Open,['Multiple failed login attempts'],No IOC Match,Unknown,False
1546,EVT02217,56.26,Moderate,Review When Possible,Open,"['High CVSS vulnerability', 'Multiple failed login attempts']",No IOC Match,Unknown,False
1547,EVT09500,56.26,Moderate,Review When Possible,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
1548,EVT00541,56.25,Moderate,Review When Possible,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
1549,EVT01176,56.23,Moderate,Review When Possible,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
1550,EVT07235,56.23,Moderate,Review When Possible,Open,"['High CVSS vulnerability', 'Multiple failed login attempts']",No IOC Match,Unknown,False
1551,EVT03605,56.22,Moderate,Review When Possible,Open,"['High CVSS vulnerability', 'Multiple failed login attempts']",No IOC Match,Unknown,False
1552,EVT07471,56.22,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
1553,EVT03673,56.21,Moderate,Review When Possible,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
1554,EVT09716,56.21,Moderate,Review When Possible,Open,[],No IOC Match,Medium,True
1555,EVT01835,56.2,Moderate,Review When Possible,Open,['Multiple failed login attempts'],No IOC Match,Unknown,False
1556,EVT01912,56.2,Moderate,Review When Possible,Open,['Multiple failed login attempts'],No IOC Match,Unknown,False
1557,EVT01319,56.19,Moderate,Review When Possible,Open,['Multiple failed login attempts'],No IOC Match,Unknown,False
1558,EVT08293,56.19,Moderate,Review When Possible,Open,['Multiple failed login attempts'],No IOC Match,Unknown,False
1559,EVT03543,56.17,Moderate,Review When Possible,Open,"['High CVSS vulnerability', 'Multiple failed login attempts']",No IOC Match,Unknown,False
1560,EVT09263,56.17,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
1561,EVT03080,56.16,Moderate,Review When Possible,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
1562,EVT06636,56.16,Moderate,Review When Possible,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
1563,EVT09751,56.16,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
1564,EVT00501,56.15,Moderate,Review When Possible,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
1565,EVT03781,56.15,Moderate,Review When Possible,Open,['Multiple failed login attempts'],No IOC Match,Unknown,False
1566,EVT04804,56.14,Moderate,Review When Possible,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
1567,EVT05937,56.14,Moderate,Review When Possible,Open,['Multiple failed login attempts'],No IOC Match,Unknown,False
1568,EVT01449,56.13,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
1569,EVT02903,56.13,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
1570,EVT07337,56.12,Moderate,Review When Possible,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
1571,EVT01477,56.11,Moderate,Review When Possible,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
1572,EVT05642,56.11,Moderate,Review When Possible,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
1573,EVT04772,56.1,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
1574,EVT05675,56.1,Moderate,Review When Possible,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
1575,EVT01262,56.09,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
1576,EVT08092,56.09,Moderate,Review When Possible,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
1577,EVT08103,56.09,Moderate,Review When Possible,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
1578,EVT00401,56.08,Moderate,Review When Possible,Open,['Multiple failed login attempts'],No IOC Match,Unknown,False
1579,EVT09079,56.08,Moderate,Review When Possible,Open,['Multiple failed login attempts'],No IOC Match,Unknown,False
1580,EVT06711,56.07,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
1581,EVT07986,56.07,Moderate,Review When Possible,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
1582,EVT07674,56.06,Moderate,Review When Possible,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
1583,EVT09595,56.06,Moderate,Review When Possible,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
1584,EVT00208,56.05,Moderate,Review When Possible,Open,['Multiple failed login attempts'],No IOC Match,Unknown,False
1585,EVT05504,56.04,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
1586,EVT06080,56.04,Moderate,Review When Possible,Open,['Critical asset'],No IOC Match,Critical,True
1587,EVT07313,56.04,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
1588,EVT07318,56.04,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
1589,EVT04980,56.03,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
1590,EVT08000,56.03,Moderate,Review When Possible,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
1591,EVT00175,56.02,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
1592,EVT01527,56.02,Moderate,Review When Possible,Open,['Multiple failed login attempts'],No IOC Match,Unknown,False
1593,EVT06916,56.02,Moderate,Review When Possible,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
1594,EVT04395,56.01,Moderate,Review When Possible,Open,['Multiple failed login attempts'],No IOC Match,Unknown,False
1595,EVT06784,56.01,Moderate,Review When Possible,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
1596,EVT07199,56.01,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
1597,EVT01056,56.0,Moderate,Review When Possible,Open,['Multiple failed login attempts'],No IOC Match,Unknown,False
1598,EVT03025,55.99,Moderate,Review When Possible,Open,['Multiple failed login attempts'],No IOC Match,Unknown,False
1599,EVT03715,55.98,Moderate,Review When Possible,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
1600,EVT08183,55.98,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
1601,EVT03163,55.96,Moderate,Review When Possible,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
1602,EVT06798,55.96,Moderate,Review When Possible,Open,"['High CVSS vulnerability', 'Multiple failed login attempts']",No IOC Match,Medium,True
1603,EVT04618,55.95,Moderate,Review When Possible,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
1604,EVT06790,55.95,Moderate,Review When Possible,Open,"['High CVSS vulnerability', 'Multiple failed login attempts']",No IOC Match,Unknown,False
1605,EVT02720,55.94,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
1606,EVT06287,55.93,Moderate,Review When Possible,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
1607,EVT07397,55.92,Moderate,Review When Possible,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
1608,EVT02173,55.91,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
1609,EVT09487,55.91,Moderate,Review When Possible,Open,['Multiple failed login attempts'],No IOC Match,Unknown,False
1610,EVT05860,55.9,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
1611,EVT08546,55.9,Moderate,Review When Possible,Open,"['High CVSS vulnerability', 'Multiple failed login attempts']",No IOC Match,Unknown,False
1612,EVT03313,55.89,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
1613,EVT05208,55.89,Moderate,Review When Possible,Open,"['High CVSS vulnerability', 'Multiple failed login attempts']",No IOC Match,Unknown,False
1614,EVT05843,55.89,Moderate,Review When Possible,Open,"['High CVSS vulnerability', 'Multiple failed login attempts']",No IOC Match,Unknown,False
1615,EVT02793,55.88,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
1616,EVT03816,55.88,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
1617,EVT03955,55.88,Moderate,Review When Possible,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
1618,EVT02662,55.85,Moderate,Review When Possible,Open,['Multiple failed login attempts'],No IOC Match,Unknown,False
1619,EVT01275,55.84,Moderate,Review When Possible,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
1620,EVT00268,55.82,Moderate,Review When Possible,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
1621,EVT05432,55.82,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
1622,EVT08458,55.82,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
1623,EVT03799,55.81,Moderate,Review When Possible,Open,"['High CVSS vulnerability', 'Multiple failed login attempts']",No IOC Match,Unknown,False
1624,EVT06694,55.81,Moderate,Review When Possible,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
1625,EVT02849,55.8,Moderate,Review When Possible,Open,['Multiple failed login attempts'],No IOC Match,Unknown,False
1626,EVT01476,55.79,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
1627,EVT03507,55.79,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
1628,EVT03846,55.79,Moderate,Review When Possible,Open,['Multiple failed login attempts'],No IOC Match,Unknown,False
1629,EVT09207,55.79,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
1630,EVT01781,55.78,Moderate,Review When Possible,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
1631,EVT00203,55.76,Moderate,Review When Possible,Open,['High CVSS vulnerability'],No IOC Match,High,True
1632,EVT06681,55.76,Moderate,Review When Possible,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
1633,EVT08535,55.76,Moderate,Review When Possible,Open,[],No IOC Match,High,True
1634,EVT03897,55.74,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
1635,EVT08671,55.74,Moderate,Review When Possible,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
1636,EVT05298,55.73,Moderate,Review When Possible,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
1637,EVT09477,55.72,Moderate,Review When Possible,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
1638,EVT05922,55.71,Moderate,Review When Possible,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
1639,EVT02301,55.7,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
1640,EVT08949,55.7,Moderate,Review When Possible,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
1641,EVT09297,55.69,Moderate,Review When Possible,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
1642,EVT08128,55.68,Moderate,Review When Possible,Open,"['High CVSS vulnerability', 'Multiple failed login attempts']",No IOC Match,Unknown,False
1643,EVT00185,55.67,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
1644,EVT08684,55.67,Moderate,Review When Possible,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
1645,EVT09969,55.67,Moderate,Review When Possible,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
1646,EVT06038,55.66,Moderate,Review When Possible,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
1647,EVT05362,55.65,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
1648,EVT08379,55.65,Moderate,Review When Possible,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
1649,EVT02467,55.64,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
1650,EVT00434,55.63,Moderate,Review When Possible,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
1651,EVT00474,55.63,Moderate,Review When Possible,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
1652,EVT07144,55.63,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
1653,EVT07323,55.63,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
1654,EVT04139,55.62,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
1655,EVT01062,55.61,Moderate,Review When Possible,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
1656,EVT02633,55.61,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
1657,EVT05340,55.61,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
1658,EVT01038,55.6,Moderate,Review When Possible,Open,['Multiple failed login attempts'],No IOC Match,Unknown,False
1659,EVT00811,55.59,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
1660,EVT08030,55.59,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
1661,EVT09428,55.58,Moderate,Review When Possible,Open,['Multiple failed login attempts'],No IOC Match,Medium,True
1662,EVT00916,55.57,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
1663,EVT02813,55.57,Moderate,Review When Possible,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
1664,EVT07340,55.57,Moderate,Review When Possible,Open,['Multiple failed login attempts'],No IOC Match,Unknown,False
1665,EVT04502,55.56,Moderate,Review When Possible,Open,['Multiple failed login attempts'],No IOC Match,Unknown,False
1666,EVT05545,55.56,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
1667,EVT00963,55.54,Moderate,Review When Possible,Open,['Critical asset'],No IOC Match,Critical,True
1668,EVT07159,55.54,Moderate,Review When Possible,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
1669,EVT07280,55.54,Moderate,Review When Possible,Open,['Multiple failed login attempts'],No IOC Match,Unknown,False
1670,EVT06827,55.53,Moderate,Review When Possible,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
1671,EVT01250,55.52,Moderate,Review When Possible,Open,['Multiple failed login attempts'],No IOC Match,Unknown,False
1672,EVT03359,55.51,Moderate,Review When Possible,Open,"['High CVSS vulnerability', 'Multiple failed login attempts']",No IOC Match,Unknown,False
1673,EVT05861,55.51,Moderate,Review When Possible,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
1674,EVT08146,55.51,Moderate,Review When Possible,Open,"['Critical asset', 'High CVSS vulnerability']",No IOC Match,Critical,True
1675,EVT03204,55.5,Moderate,Review When Possible,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
1676,EVT07878,55.5,Moderate,Review When Possible,Open,['Multiple failed login attempts'],No IOC Match,Unknown,False
1677,EVT03604,55.47,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
1678,EVT01073,55.46,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
1679,EVT03231,55.45,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
1680,EVT08465,55.45,Moderate,Review When Possible,Open,['Multiple failed login attempts'],No IOC Match,Unknown,False
1681,EVT05924,55.44,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
1682,EVT08720,55.44,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
1683,EVT09995,55.44,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
1684,EVT08245,55.43,Moderate,Review When Possible,Open,['Multiple failed login attempts'],No IOC Match,Unknown,False
1685,EVT09178,55.43,Moderate,Review When Possible,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
1686,EVT00718,55.42,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
1687,EVT08654,55.41,Moderate,Review When Possible,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
1688,EVT01578,55.4,Moderate,Review When Possible,Open,['Multiple failed login attempts'],No IOC Match,Unknown,False
1689,EVT01405,55.39,Moderate,Review When Possible,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
1690,EVT06053,55.39,Moderate,Review When Possible,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
1691,EVT01813,55.38,Moderate,Review When Possible,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
1692,EVT05653,55.38,Moderate,Review When Possible,Open,"['High CVSS vulnerability', 'Multiple failed login attempts']",No IOC Match,Unknown,False
1693,EVT09616,55.38,Moderate,Review When Possible,Open,"['High CVSS vulnerability', 'Multiple failed login attempts']",No IOC Match,Unknown,False
1694,EVT06738,55.37,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
1695,EVT01748,55.36,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
1696,EVT06828,55.36,Moderate,Review When Possible,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
1697,EVT00705,55.35,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
1698,EVT01755,55.35,Moderate,Review When Possible,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
1699,EVT04783,55.35,Moderate,Review When Possible,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
1700,EVT08066,55.33,Moderate,Review When Possible,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
1701,EVT08698,55.33,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
1702,EVT04717,55.32,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
1703,EVT00886,55.31,Moderate,Review When Possible,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
1704,EVT01012,55.29,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
1705,EVT02746,55.29,Moderate,Review When Possible,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
1706,EVT03216,55.28,Moderate,Review When Possible,Open,['Critical asset'],No IOC Match,Critical,True
1707,EVT05294,55.28,Moderate,Review When Possible,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
1708,EVT00847,55.27,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
1709,EVT04016,55.27,Moderate,Review When Possible,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
1710,EVT06839,55.27,Moderate,Review When Possible,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
1711,EVT00731,55.26,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
1712,EVT01442,55.25,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
1713,EVT02091,55.24,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
1714,EVT09694,55.24,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
1715,EVT00446,55.23,Moderate,Review When Possible,Open,['Critical asset'],No IOC Match,Critical,True
1716,EVT00487,55.23,Moderate,Review When Possible,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
1717,EVT00819,55.23,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
1718,EVT01447,55.22,Moderate,Review When Possible,Open,['Multiple failed login attempts'],No IOC Match,Unknown,False
1719,EVT08725,55.22,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
1720,EVT08978,55.22,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
1721,EVT09423,55.22,Moderate,Review When Possible,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
1722,EVT03571,55.21,Moderate,Review When Possible,Open,[],No IOC Match,High,True
1723,EVT09831,55.21,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
1724,EVT01997,55.2,Moderate,Review When Possible,Open,['Multiple failed login attempts'],No IOC Match,Unknown,False
1725,EVT02709,55.2,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
1726,EVT04677,55.19,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
1727,EVT05361,55.19,Moderate,Review When Possible,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
1728,EVT08817,55.19,Moderate,Review When Possible,Open,['Multiple failed login attempts'],No IOC Match,Unknown,False
1729,EVT07621,55.18,Moderate,Review When Possible,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
1730,EVT05056,55.17,Moderate,Review When Possible,Open,['Multiple failed login attempts'],No IOC Match,Low,True
1731,EVT08071,55.17,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
1732,EVT03795,55.16,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
1733,EVT05242,55.16,Moderate,Review When Possible,Open,"['High CVSS vulnerability', 'Multiple failed login attempts']",No IOC Match,Unknown,False
1734,EVT04242,55.15,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
1735,EVT09645,55.13,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
1736,EVT03096,55.11,Moderate,Review When Possible,Open,['Multiple failed login attempts'],No IOC Match,Unknown,False
1737,EVT03309,55.11,Moderate,Review When Possible,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
1738,EVT07285,55.11,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
1739,EVT01457,55.1,Moderate,Review When Possible,Open,['Multiple failed login attempts'],No IOC Match,Unknown,False
1740,EVT09378,55.1,Moderate,Review When Possible,Open,['High CVSS vulnerability'],No IOC Match,Low,True
1741,EVT05314,55.09,Moderate,Review When Possible,Open,['Multiple failed login attempts'],No IOC Match,Unknown,False
1742,EVT07692,55.09,Moderate,Review When Possible,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
1743,EVT02732,55.08,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
1744,EVT02606,55.07,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
1745,EVT08224,55.07,Moderate,Review When Possible,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
1746,EVT09171,55.07,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
1747,EVT04951,55.06,Moderate,Review When Possible,Open,['High CVSS vulnerability'],No IOC Match,High,True
1748,EVT08656,55.06,Moderate,Review When Possible,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
1749,EVT01680,55.05,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
1750,EVT06730,55.04,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
1751,EVT04817,55.01,Moderate,Review When Possible,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
1752,EVT06514,55.01,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
1753,EVT08115,55.01,Moderate,Review When Possible,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
1754,EVT01332,54.99,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
1755,EVT02198,54.99,Moderate,Review When Possible,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
1756,EVT03053,54.99,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
1757,EVT05892,54.99,Moderate,Review When Possible,Open,[],No IOC Match,Unknown,False
