event_id,timestamp,source_ip,destination_ip,event_type,ioc_status,ioc_type,ioc_value,threat_name,threat_actor,ioc_confidence,ioc_severity,indicator_id,matched_from,enrichment_source
EVT02057,2026-01-08 03:25:00,2.144.198.79,10.0.8.165,Brute Force,No IOC Match,,,,,,,,,No Match
EVT02058,2026-01-08 03:30:00,93.46.144.238,10.0.9.215,Malware Detection,No IOC Match,,,,,,,,,No Match
EVT02059,2026-01-08 03:35:00,197.14.221.230,10.0.7.20,SQL Injection Attempt,No IOC Match,,,,,,,,,No Match
EVT02060,2026-01-08 03:40:00,21.2.184.67,10.0.7.75,Malware Detection,No IOC Match,,,,,,,,,No Match
EVT02061,2026-01-08 03:45:00,147.80.46.235,10.0.1.34,Firewall Rule Change,No IOC Match,,,,,,,,,No Match
EVT02062,2026-01-08 03:50:00,88.245.37.84,10.0.0.104,DNS Tunneling Detected,No IOC Match,,,,,,,,,No Match
EVT02063,2026-01-08 03:55:00,195.78.162.180,10.0.4.216,Suspicious Process Execution,No IOC Match,,,,,,,,,No Match
EVT02064,2026-01-08 04:00:00,9.31.87.125,10.0.5.165,Credential Dumping,No IOC Match,,,,,,,,,No Match
EVT02065,2026-01-08 04:05:00,222.86.184.79,10.0.7.27,DNS Tunneling Detected,No IOC Match,,,,,,,,,No Match
EVT02066,2026-01-08 04:10:00,218.128.189.112,10.0.6.53,Login Success,No IOC Match,,,,,,,,,No Match
EVT02067,2026-01-08 04:15:00,34.87.105.187,10.0.7.83,Ransomware Detected,No IOC Match,,,,,,,,,No Match
EVT02068,2026-01-08 04:20:00,119.166.39.105,10.0.7.18,Privilege Escalation,No IOC Match,,,,,,,,,No Match
EVT02069,2026-01-08 04:25:00,56.62.68.66,10.0.2.243,DDoS Attempt,No IOC Match,,,,,,,,,No Match
EVT02070,2026-01-08 04:30:00,196.244.124.63,10.0.2.176,Ransomware Detected,No IOC Match,,,,,,,,,No Match
EVT02071,2026-01-08 04:35:00,161.8.195.36,10.0.6.196,VPN Connection,No IOC Match,,,,,,,,,No Match
EVT02072,2026-01-08 04:40:00,143.202.37.139,10.0.1.87,VPN Connection,No IOC Match,,,,,,,,,No Match
EVT02073,2026-01-08 04:45:00,33.69.15.58,10.0.7.199,Lateral Movement Detected,No IOC Match,,,,,,,,,No Match
EVT02074,2026-01-08 04:50:00,84.6.16.193,10.0.9.235,File Access,No IOC Match,,,,,,,,,No Match
EVT02075,2026-01-08 04:55:00,45.235.22.163,10.0.1.57,Malware Detection,No IOC Match,,,,,,,,,No Match
EVT02076,2026-01-08 05:00:00,97.185.160.108,10.0.9.53,Failed Login,No IOC Match,,,,,,,,,No Match
EVT02077,2026-01-08 05:05:00,196.19.147.27,10.0.2.118,Privilege Escalation,No IOC Match,,,,,,,,,No Match
EVT02078,2026-01-08 05:10:00,138.64.61.204,10.0.5.158,Port Scan,No IOC Match,,,,,,,,,No Match
EVT02079,2026-01-08 05:15:00,50.76.34.109,10.0.0.29,Lateral Movement Detected,No IOC Match,,,,,,,,,No Match
EVT02080,2026-01-08 05:20:00,143.128.88.74,10.0.3.189,Phishing Email,No IOC Match,,,,,,,,,No Match
EVT02081,2026-01-08 05:25:00,51.236.10.229,10.0.9.123,Session Hijacking Attempt,No IOC Match,,,,,,,,,No Match
EVT02082,2026-01-08 05:30:00,203.97.87.146,10.0.0.224,Unauthorized Access,No IOC Match,,,,,,,,,No Match
EVT02083,2026-01-08 05:35:00,209.223.198.131,10.0.3.13,SQL Injection Attempt,No IOC Match,,,,,,,,,No Match
EVT02084,2026-01-08 05:40:00,212.154.85.219,10.0.5.100,Web Shell Detected,No IOC Match,,,,,,,,,No Match
EVT02085,2026-01-08 05:45:00,47.221.6.143,10.0.4.40,Failed Login,No IOC Match,,,,,,,,,No Match
EVT02086,2026-01-08 05:50:00,31.153.49.4,10.0.7.11,Ransomware Detected,No IOC Match,,,,,,,,,No Match
EVT02087,2026-01-08 05:55:00,166.230.191.66,10.0.6.4,File Access,No IOC Match,,,,,,,,,No Match
EVT02088,2026-01-08 06:00:00,144.53.249.29,10.0.2.56,Port Scan,No IOC Match,,,,,,,,,No Match
EVT02089,2026-01-08 06:05:00,131.72.27.222,10.0.3.119,Ransomware Detected,No IOC Match,,,,,,,,,No Match
EVT02090,2026-01-08 06:10:00,92.31.237.230,10.0.0.7,Lateral Movement Detected,No IOC Match,,,,,,,,,No Match
EVT02091,2026-01-08 06:15:00,158.225.99.209,10.0.2.18,USB Device Connected,No IOC Match,,,,,,,,,No Match
EVT02092,2026-01-08 06:20:00,67.160.221.165,10.0.6.102,Brute Force,No IOC Match,,,,,,,,,No Match
EVT02093,2026-01-08 06:25:00,134.156.48.10,10.0.6.45,Suspicious Process Execution,No IOC Match,,,,,,,,,No Match
EVT02094,2026-01-08 06:30:00,110.196.150.147,10.0.0.130,Malware Detection,No IOC Match,,,,,,,,,No Match
EVT02095,2026-01-08 06:35:00,121.46.214.229,10.0.6.236,Session Hijacking Attempt,No IOC Match,,,,,,,,,No Match
EVT02096,2026-01-08 06:40:00,34.204.168.196,10.0.9.174,SQL Injection Attempt,No IOC Match,,,,,,,,,No Match
EVT02097,2026-01-08 06:45:00,186.14.117.149,10.0.2.195,USB Device Connected,No IOC Match,,,,,,,,,No Match
EVT02098,2026-01-08 06:50:00,160.10.90.121,10.0.1.114,Ransomware Detected,No IOC Match,,,,,,,,,No Match
EVT02099,2026-01-08 06:55:00,26.120.202.130,10.0.9.177,Malware Detection,No IOC Match,,,,,,,,,No Match
EVT02100,2026-01-08 07:00:00,193.254.43.65,10.0.9.140,Privilege Escalation,No IOC Match,,,,,,,,,No Match
EVT02101,2026-01-08 07:05:00,128.198.58.188,10.0.7.20,DNS Tunneling Detected,No IOC Match,,,,,,,,,No Match
EVT02102,2026-01-08 07:10:00,21.161.163.105,10.0.7.221,VPN Connection,No IOC Match,,,,,,,,,No Match
EVT02103,2026-01-08 07:15:00,104.92.214.134,10.0.2.87,Ransomware Detected,No IOC Match,,,,,,,,,No Match
EVT02104,2026-01-08 07:20:00,167.22.105.132,10.0.0.186,Account Lockout,No IOC Match,,,,,,,,,No Match
EVT02105,2026-01-08 07:25:00,153.98.112.174,10.0.3.96,DDoS Attempt,No IOC Match,,,,,,,,,No Match
EVT02106,2026-01-08 07:30:00,133.204.68.92,10.0.4.168,Privilege Escalation,No IOC Match,,,,,,,,,No Match
EVT02107,2026-01-08 07:35:00,215.64.232.219,10.0.5.182,Account Lockout,No IOC Match,,,,,,,,,No Match
EVT02108,2026-01-08 07:40:00,161.55.88.252,10.0.3.231,Phishing Email,No IOC Match,,,,,,,,,No Match
EVT02109,2026-01-08 07:45:00,191.21.180.221,10.0.3.25,DDoS Attempt,No IOC Match,,,,,,,,,No Match
EVT02110,2026-01-08 07:50:00,126.245.137.253,10.0.0.184,Account Lockout,No IOC Match,,,,,,,,,No Match
EVT02111,2026-01-08 07:55:00,207.49.218.37,10.0.5.183,Firewall Rule Change,No IOC Match,,,,,,,,,No Match
EVT02112,2026-01-08 08:00:00,119.51.152.59,10.0.4.33,Account Lockout,No IOC Match,,,,,,,,,No Match
EVT02113,2026-01-08 08:05:00,219.207.61.101,10.0.6.179,Ransomware Detected,No IOC Match,,,,,,,,,No Match
EVT02114,2026-01-08 08:10:00,194.244.248.162,10.0.0.136,SQL Injection Attempt,No IOC Match,,,,,,,,,No Match
EVT02115,2026-01-08 08:15:00,209.191.6.162,10.0.0.58,VPN Connection,No IOC Match,,,,,,,,,No Match
EVT02116,2026-01-08 08:20:00,175.35.106.164,10.0.6.112,DDoS Attempt,No IOC Match,,,,,,,,,No Match
EVT02117,2026-01-08 08:25:00,43.247.139.14,10.0.0.237,Port Scan,No IOC Match,,,,,,,,,No Match
EVT02118,2026-01-08 08:30:00,60.208.63.144,10.0.1.19,Lateral Movement Detected,No IOC Match,,,,,,,,,No Match
EVT02119,2026-01-08 08:35:00,146.215.165.95,10.0.5.146,Web Shell Detected,No IOC Match,,,,,,,,,No Match
EVT02120,2026-01-08 08:40:00,95.234.105.25,10.0.5.227,Lateral Movement Detected,No IOC Match,,,,,,,,,No Match
EVT02121,2026-01-08 08:45:00,133.241.221.78,10.0.4.72,DNS Tunneling Detected,No IOC Match,,,,,,,,,No Match
EVT02122,2026-01-08 08:50:00,223.36.180.17,10.0.1.235,Port Scan,No IOC Match,,,,,,,,,No Match
EVT02123,2026-01-08 08:55:00,174.49.11.110,10.0.4.34,Firewall Rule Change,No IOC Match,,,,,,,,,No Match
EVT02124,2026-01-08 09:00:00,139.143.141.61,10.0.2.127,USB Device Connected,No IOC Match,,,,,,,,,No Match
EVT02125,2026-01-08 09:05:00,103.0.241.11,10.0.5.130,VPN Connection,No IOC Match,,,,,,,,,No Match
EVT02126,2026-01-08 09:10:00,105.139.11.116,10.0.4.173,Account Lockout,No IOC Match,,,,,,,,,No Match
EVT02127,2026-01-08 09:15:00,132.245.134.47,10.0.9.211,Firewall Rule Change,No IOC Match,,,,,,,,,No Match
EVT02128,2026-01-08 09:20:00,198.71.155.108,10.0.2.206,Unauthorized Access,No IOC Match,,,,,,,,,No Match
EVT02129,2026-01-08 09:25:00,204.5.232.23,10.0.2.223,Malware Detection,No IOC Match,,,,,,,,,No Match
EVT02130,2026-01-08 09:30:00,155.241.134.202,10.0.0.11,Suspicious Process Execution,No IOC Match,,,,,,,,,No Match
EVT02131,2026-01-08 09:35:00,88.215.248.51,10.0.3.117,Failed Login,No IOC Match,,,,,,,,,No Match
EVT02132,2026-01-08 09:40:00,156.92.236.182,10.0.1.22,DDoS Attempt,No IOC Match,,,,,,,,,No Match
EVT02133,2026-01-08 09:45:00,169.153.67.244,10.0.6.3,File Access,No IOC Match,,,,,,,,,No Match
EVT02134,2026-01-08 09:50:00,209.42.245.231,10.0.0.103,Failed Login,No IOC Match,,,,,,,,,No Match
EVT02135,2026-01-08 09:55:00,17.167.209.238,10.0.2.136,Lateral Movement Detected,No IOC Match,,,,,,,,,No Match
EVT02136,2026-01-08 10:00:00,109.50.213.224,10.0.2.104,File Access,No IOC Match,,,,,,,,,No Match
EVT02137,2026-01-08 10:05:00,194.45.26.54,10.0.4.241,Suspicious Process Execution,No IOC Match,,,,,,,,,No Match
EVT02138,2026-01-08 10:10:00,42.214.166.21,10.0.9.93,Configuration Change,No IOC Match,,,,,,,,,No Match
EVT02139,2026-01-08 10:15:00,149.220.32.111,10.0.2.143,Account Lockout,No IOC Match,,,,,,,,,No Match
EVT02140,2026-01-08 10:20:00,212.22.33.22,10.0.6.226,File Access,No IOC Match,,,,,,,,,No Match
EVT02141,2026-01-08 10:25:00,219.80.29.80,10.0.5.231,File Access,No IOC Match,,,,,,,,,No Match
EVT02142,2026-01-08 10:30:00,145.101.0.100,10.0.0.198,Account Lockout,No IOC Match,,,,,,,,,No Match
EVT02143,2026-01-08 10:35:00,183.208.124.251,10.0.0.245,Login Success,No IOC Match,,,,,,,,,No Match
EVT02144,2026-01-08 10:40:00,120.45.245.252,10.0.5.163,Account Lockout,No IOC Match,,,,,,,,,No Match
EVT02145,2026-01-08 10:45:00,134.74.50.42,10.0.5.9,Port Scan,No IOC Match,,,,,,,,,No Match
EVT02146,2026-01-08 10:50:00,149.89.190.178,10.0.0.36,Data Exfiltration Attempt,No IOC Match,,,,,,,,,No Match
EVT02147,2026-01-08 10:55:00,199.154.53.185,10.0.0.235,Lateral Movement Detected,No IOC Match,,,,,,,,,No Match
EVT02148,2026-01-08 11:00:00,12.156.135.159,10.0.9.241,Malware Detection,No IOC Match,,,,,,,,,No Match
EVT02149,2026-01-08 11:05:00,212.194.167.224,10.0.9.135,Data Exfiltration Attempt,No IOC Match,,,,,,,,,No Match
EVT02150,2026-01-08 11:10:00,220.107.182.87,10.0.8.138,Phishing Email,No IOC Match,,,,,,,,,No Match
EVT02151,2026-01-08 11:15:00,199.124.37.108,10.0.6.240,Data Exfiltration Attempt,No IOC Match,,,,,,,,,No Match
EVT02152,2026-01-08 11:20:00,132.237.251.33,10.0.5.57,Data Exfiltration Attempt,No IOC Match,,,,,,,,,No Match
EVT02153,2026-01-08 11:25:00,182.211.253.157,10.0.2.114,Privilege Escalation,No IOC Match,,,,,,,,,No Match
EVT02154,2026-01-08 11:30:00,167.37.161.76,10.0.3.123,DDoS Attempt,No IOC Match,,,,,,,,,No Match
EVT02155,2026-01-08 11:35:00,27.147.31.183,10.0.0.187,Login Success,No IOC Match,,,,,,,,,No Match
EVT02156,2026-01-08 11:40:00,124.173.110.212,10.0.5.226,Lateral Movement Detected,No IOC Match,,,,,,,,,No Match
EVT02157,2026-01-08 11:45:00,221.241.171.109,10.0.2.211,SQL Injection Attempt,No IOC Match,,,,,,,,,No Match
EVT02158,2026-01-08 11:50:00,221.118.103.4,10.0.1.216,Ransomware Detected,No IOC Match,,,,,,,,,No Match
EVT02159,2026-01-08 11:55:00,125.205.123.104,10.0.0.233,Brute Force,No IOC Match,,,,,,,,,No Match
EVT02160,2026-01-08 12:00:00,62.143.188.122,10.0.3.32,DNS Tunneling Detected,No IOC Match,,,,,,,,,No Match
EVT02161,2026-01-08 12:05:00,192.127.54.73,10.0.7.153,Session Hijacking Attempt,No IOC Match,,,,,,,,,No Match
EVT02162,2026-01-08 12:10:00,189.18.111.249,10.0.0.120,DNS Tunneling Detected,No IOC Match,,,,,,,,,No Match
EVT02163,2026-01-08 12:15:00,131.170.63.175,10.0.9.157,Privilege Escalation,No IOC Match,,,,,,,,,No Match
EVT02164,2026-01-08 12:20:00,148.207.17.181,10.0.2.119,Lateral Movement Detected,No IOC Match,,,,,,,,,No Match
EVT02165,2026-01-08 12:25:00,40.71.19.32,10.0.8.107,DNS Tunneling Detected,No IOC Match,,,,,,,,,No Match
EVT02166,2026-01-08 12:30:00,50.32.208.80,10.0.3.11,Unauthorized Access,No IOC Match,,,,,,,,,No Match
EVT02167,2026-01-08 12:35:00,144.154.8.60,10.0.8.183,Malware Detection,No IOC Match,,,,,,,,,No Match
EVT02168,2026-01-08 12:40:00,218.17.31.127,10.0.5.61,SQL Injection Attempt,No IOC Match,,,,,,,,,No Match
EVT02169,2026-01-08 12:45:00,49.85.156.142,10.0.1.138,Session Hijacking Attempt,No IOC Match,,,,,,,,,No Match
EVT02170,2026-01-08 12:50:00,110.115.104.151,10.0.2.225,Configuration Change,No IOC Match,,,,,,,,,No Match
EVT02171,2026-01-08 12:55:00,48.13.77.85,10.0.3.56,File Access,No IOC Match,,,,,,,,,No Match
EVT02172,2026-01-08 13:00:00,11.122.223.95,10.0.3.84,DDoS Attempt,No IOC Match,,,,,,,,,No Match
EVT02173,2026-01-08 13:05:00,199.129.248.7,10.0.4.131,Ransomware Detected,No IOC Match,,,,,,,,,No Match
EVT02174,2026-01-08 13:10:00,150.189.118.184,10.0.2.211,Account Lockout,No IOC Match,,,,,,,,,No Match
EVT02175,2026-01-08 13:15:00,6.55.165.114,10.0.1.97,Login Success,No IOC Match,,,,,,,,,No Match
EVT02176,2026-01-08 13:20:00,148.49.229.189,10.0.4.235,Phishing Email,No IOC Match,,,,,,,,,No Match
EVT02177,2026-01-08 13:25:00,50.87.88.114,10.0.8.132,Account Lockout,No IOC Match,,,,,,,,,No Match
EVT02178,2026-01-08 13:30:00,209.95.174.189,10.0.6.156,Phishing Email,No IOC Match,,,,,,,,,No Match
EVT02179,2026-01-08 13:35:00,69.138.112.237,10.0.8.205,Login Success,No IOC Match,,,,,,,,,No Match
EVT02180,2026-01-08 13:40:00,203.66.133.251,10.0.8.53,Privilege Escalation,No IOC Match,,,,,,,,,No Match
EVT02181,2026-01-08 13:45:00,39.150.141.206,10.0.5.195,Suspicious Process Execution,No IOC Match,,,,,,,,,No Match
EVT02182,2026-01-08 13:50:00,213.53.81.101,10.0.6.18,Ransomware Detected,No IOC Match,,,,,,,,,No Match
EVT02183,2026-01-08 13:55:00,195.13.189.130,10.0.5.183,Data Exfiltration Attempt,No IOC Match,,,,,,,,,No Match
EVT02184,2026-01-08 14:00:00,197.46.9.42,10.0.1.215,Suspicious Process Execution,No IOC Match,,,,,,,,,No Match
EVT02185,2026-01-08 14:05:00,183.134.144.173,10.0.6.65,Data Exfiltration Attempt,No IOC Match,,,,,,,,,No Match
EVT02186,2026-01-08 14:10:00,72.214.170.75,10.0.0.180,Lateral Movement Detected,No IOC Match,,,,,,,,,No Match
EVT02187,2026-01-08 14:15:00,75.132.138.150,10.0.3.173,Lateral Movement Detected,No IOC Match,,,,,,,,,No Match
EVT02188,2026-01-08 14:20:00,223.99.182.234,10.0.9.118,DDoS Attempt,No IOC Match,,,,,,,,,No Match
EVT02189,2026-01-08 14:25:00,197.128.125.184,10.0.7.240,Port Scan,No IOC Match,,,,,,,,,No Match
EVT02190,2026-01-08 14:30:00,60.38.77.184,10.0.3.117,Login Success,No IOC Match,,,,,,,,,No Match
EVT02191,2026-01-08 14:35:00,207.251.53.143,10.0.0.121,Login Success,No IOC Match,,,,,,,,,No Match
EVT02192,2026-01-08 14:40:00,134.162.128.214,10.0.1.249,Firewall Rule Change,No IOC Match,,,,,,,,,No Match
EVT02193,2026-01-08 14:45:00,167.249.34.215,10.0.2.186,Malware Detection,No IOC Match,,,,,,,,,No Match
EVT02194,2026-01-08 14:50:00,180.125.36.70,10.0.5.219,Brute Force,No IOC Match,,,,,,,,,No Match
EVT02195,2026-01-08 14:55:00,80.255.93.194,10.0.0.72,Brute Force,No IOC Match,,,,,,,,,No Match
EVT02196,2026-01-08 15:00:00,99.198.230.111,10.0.7.129,Web Shell Detected,No IOC Match,,,,,,,,,No Match
EVT02197,2026-01-08 15:05:00,6.226.1.13,10.0.8.234,Port Scan,No IOC Match,,,,,,,,,No Match
EVT02198,2026-01-08 15:10:00,192.71.96.249,10.0.9.73,Port Scan,No IOC Match,,,,,,,,,No Match
EVT02199,2026-01-08 15:15:00,180.217.51.248,10.0.9.160,Credential Dumping,No IOC Match,,,,,,,,,No Match
EVT02200,2026-01-08 15:20:00,13.11.6.238,10.0.5.63,Session Hijacking Attempt,No IOC Match,,,,,,,,,No Match
EVT02201,2026-01-08 15:25:00,212.102.84.101,10.0.5.41,Lateral Movement Detected,No IOC Match,,,,,,,,,No Match
EVT02202,2026-01-08 15:30:00,27.59.182.134,10.0.5.42,Account Lockout,No IOC Match,,,,,,,,,No Match
EVT02203,2026-01-08 15:35:00,63.174.61.122,10.0.6.111,Phishing Email,No IOC Match,,,,,,,,,No Match
EVT02204,2026-01-08 15:40:00,170.13.158.38,10.0.3.97,VPN Connection,No IOC Match,,,,,,,,,No Match
EVT02205,2026-01-08 15:45:00,220.19.158.194,10.0.1.188,Web Shell Detected,No IOC Match,,,,,,,,,No Match
EVT02206,2026-01-08 15:50:00,124.1.234.85,10.0.7.23,Suspicious Process Execution,No IOC Match,,,,,,,,,No Match
EVT02207,2026-01-08 15:55:00,220.225.143.172,10.0.5.92,Suspicious Process Execution,No IOC Match,,,,,,,,,No Match
EVT02208,2026-01-08 16:00:00,30.135.235.238,10.0.5.81,Login Success,No IOC Match,,,,,,,,,No Match
EVT02209,2026-01-08 16:05:00,47.236.108.131,10.0.1.110,USB Device Connected,No IOC Match,,,,,,,,,No Match
EVT02210,2026-01-08 16:10:00,179.118.236.7,10.0.7.252,Configuration Change,No IOC Match,,,,,,,,,No Match
EVT02211,2026-01-08 16:15:00,193.206.191.181,10.0.5.47,VPN Connection,No IOC Match,,,,,,,,,No Match
EVT02212,2026-01-08 16:20:00,159.241.184.70,10.0.3.152,Failed Login,No IOC Match,,,,,,,,,No Match
EVT02213,2026-01-08 16:25:00,43.217.223.43,10.0.3.72,Configuration Change,No IOC Match,,,,,,,,,No Match
EVT02214,2026-01-08 16:30:00,219.78.134.107,10.0.7.71,Suspicious Process Execution,No IOC Match,,,,,,,,,No Match
EVT02215,2026-01-08 16:35:00,214.146.130.81,10.0.9.215,Credential Dumping,No IOC Match,,,,,,,,,No Match
EVT02216,2026-01-08 16:40:00,216.169.101.86,10.0.5.232,Lateral Movement Detected,No IOC Match,,,,,,,,,No Match
EVT02217,2026-01-08 16:45:00,204.173.44.144,10.0.5.133,Unauthorized Access,No IOC Match,,,,,,,,,No Match
EVT02218,2026-01-08 16:50:00,131.99.155.192,10.0.3.185,Firewall Rule Change,No IOC Match,,,,,,,,,No Match
EVT02219,2026-01-08 16:55:00,144.159.100.91,10.0.1.145,Suspicious Process Execution,No IOC Match,,,,,,,,,No Match
EVT02220,2026-01-08 17:00:00,100.229.180.133,10.0.3.197,VPN Connection,No IOC Match,,,,,,,,,No Match
EVT02221,2026-01-08 17:05:00,29.254.78.180,10.0.4.182,Account Lockout,No IOC Match,,,,,,,,,No Match
EVT02222,2026-01-08 17:10:00,215.111.123.133,10.0.1.133,Firewall Rule Change,No IOC Match,,,,,,,,,No Match
EVT02223,2026-01-08 17:15:00,19.50.21.209,10.0.5.45,Ransomware Detected,No IOC Match,,,,,,,,,No Match
EVT02224,2026-01-08 17:20:00,59.127.63.192,10.0.0.140,Brute Force,No IOC Match,,,,,,,,,No Match
EVT02225,2026-01-08 17:25:00,43.103.143.232,10.0.1.183,Port Scan,No IOC Match,,,,,,,,,No Match
EVT02226,2026-01-08 17:30:00,80.249.54.34,10.0.7.32,VPN Connection,No IOC Match,,,,,,,,,No Match
EVT02227,2026-01-08 17:35:00,214.108.206.22,10.0.4.27,Login Success,No IOC Match,,,,,,,,,No Match
EVT02228,2026-01-08 17:40:00,215.197.124.247,10.0.3.119,Ransomware Detected,No IOC Match,,,,,,,,,No Match
EVT02229,2026-01-08 17:45:00,48.144.225.23,10.0.8.81,Suspicious Process Execution,No IOC Match,,,,,,,,,No Match
EVT02230,2026-01-08 17:50:00,171.133.152.128,10.0.6.187,Unauthorized Access,No IOC Match,,,,,,,,,No Match
EVT02231,2026-01-08 17:55:00,189.206.228.230,10.0.5.106,USB Device Connected,No IOC Match,,,,,,,,,No Match
EVT02232,2026-01-08 18:00:00,148.136.218.65,10.0.2.127,Account Lockout,No IOC Match,,,,,,,,,No Match
EVT02233,2026-01-08 18:05:00,28.157.23.104,10.0.0.214,Login Success,No IOC Match,,,,,,,,,No Match
EVT02234,2026-01-08 18:10:00,207.101.9.71,10.0.1.147,Brute Force,No IOC Match,,,,,,,,,No Match
EVT02235,2026-01-08 18:15:00,216.205.211.193,10.0.2.158,Unauthorized Access,No IOC Match,,,,,,,,,No Match
EVT02236,2026-01-08 18:20:00,163.216.166.168,10.0.1.53,Unauthorized Access,No IOC Match,,,,,,,,,No Match
EVT02237,2026-01-08 18:25:00,195.32.234.237,10.0.9.46,Port Scan,No IOC Match,,,,,,,,,No Match
EVT02238,2026-01-08 18:30:00,50.41.237.123,10.0.6.2,Credential Dumping,No IOC Match,,,,,,,,,No Match
EVT02239,2026-01-08 18:35:00,28.247.193.65,10.0.2.52,Failed Login,No IOC Match,,,,,,,,,No Match
EVT02240,2026-01-08 18:40:00,193.236.211.162,10.0.7.46,Data Exfiltration Attempt,No IOC Match,,,,,,,,,No Match
EVT02241,2026-01-08 18:45:00,123.53.89.219,10.0.7.14,Unauthorized Access,No IOC Match,,,,,,,,,No Match
EVT02242,2026-01-08 18:50:00,73.85.236.148,10.0.7.149,Brute Force,No IOC Match,,,,,,,,,No Match
EVT02243,2026-01-08 18:55:00,170.80.120.244,10.0.9.160,Unauthorized Access,No IOC Match,,,,,,,,,No Match
EVT02244,2026-01-08 19:00:00,205.73.121.231,10.0.0.113,SQL Injection Attempt,No IOC Match,,,,,,,,,No Match
EVT02245,2026-01-08 19:05:00,192.72.128.23,10.0.6.221,Lateral Movement Detected,No IOC Match,,,,,,,,,No Match
EVT02246,2026-01-08 19:10:00,89.160.226.74,10.0.3.124,SQL Injection Attempt,No IOC Match,,,,,,,,,No Match
EVT02247,2026-01-08 19:15:00,223.151.160.118,10.0.4.144,File Access,No IOC Match,,,,,,,,,No Match
EVT02248,2026-01-08 19:20:00,140.86.162.130,10.0.0.236,Failed Login,No IOC Match,,,,,,,,,No Match
EVT02249,2026-01-08 19:25:00,65.47.1.50,10.0.5.6,Session Hijacking Attempt,No IOC Match,,,,,,,,,No Match
EVT02250,2026-01-08 19:30:00,99.202.23.99,10.0.3.131,Privilege Escalation,No IOC Match,,,,,,,,,No Match
EVT02251,2026-01-08 19:35:00,46.188.174.26,10.0.3.153,Malware Detection,No IOC Match,,,,,,,,,No Match
EVT02252,2026-01-08 19:40:00,200.167.15.223,10.0.3.228,Account Lockout,No IOC Match,,,,,,,,,No Match
EVT02253,2026-01-08 19:45:00,222.13.109.136,10.0.0.158,DNS Tunneling Detected,No IOC Match,,,,,,,,,No Match
EVT02254,2026-01-08 19:50:00,134.108.64.162,10.0.9.106,Failed Login,No IOC Match,,,,,,,,,No Match
EVT02255,2026-01-08 19:55:00,213.7.29.87,10.0.5.126,Account Lockout,No IOC Match,,,,,,,,,No Match
EVT02256,2026-01-08 20:00:00,151.214.231.110,10.0.4.114,Credential Dumping,No IOC Match,,,,,,,,,No Match
EVT02257,2026-01-08 20:05:00,164.94.190.144,10.0.8.193,Port Scan,No IOC Match,,,,,,,,,No Match
EVT02258,2026-01-08 20:10:00,215.128.93.21,10.0.0.83,Data Exfiltration Attempt,No IOC Match,,,,,,,,,No Match
EVT02259,2026-01-08 20:15:00,74.201.74.40,10.0.5.235,Credential Dumping,No IOC Match,,,,,,,,,No Match
EVT02260,2026-01-08 20:20:00,73.59.53.180,10.0.2.46,Lateral Movement Detected,No IOC Match,,,,,,,,,No Match
EVT02261,2026-01-08 20:25:00,215.84.189.93,10.0.6.110,Port Scan,No IOC Match,,,,,,,,,No Match
EVT02262,2026-01-08 20:30:00,162.39.13.244,10.0.3.85,USB Device Connected,No IOC Match,,,,,,,,,No Match
EVT02263,2026-01-08 20:35:00,206.142.2.129,10.0.1.36,Privilege Escalation,No IOC Match,,,,,,,,,No Match
EVT02264,2026-01-08 20:40:00,203.153.179.109,10.0.1.38,DNS Tunneling Detected,No IOC Match,,,,,,,,,No Match
EVT02265,2026-01-08 20:45:00,197.115.226.247,10.0.0.54,USB Device Connected,No IOC Match,,,,,,,,,No Match
EVT02266,2026-01-08 20:50:00,209.222.202.36,10.0.0.57,Suspicious Process Execution,No IOC Match,,,,,,,,,No Match
EVT02267,2026-01-08 20:55:00,205.126.81.117,10.0.3.209,Account Lockout,No IOC Match,,,,,,,,,No Match
EVT02268,2026-01-08 21:00:00,205.30.253.17,10.0.7.84,Malware Detection,No IOC Match,,,,,,,,,No Match
EVT02269,2026-01-08 21:05:00,192.100.30.137,10.0.2.124,Unauthorized Access,No IOC Match,,,,,,,,,No Match
EVT02270,2026-01-08 21:10:00,112.14.215.95,10.0.8.117,Firewall Rule Change,No IOC Match,,,,,,,,,No Match
EVT02271,2026-01-08 21:15:00,76.145.31.107,10.0.5.77,Failed Login,No IOC Match,,,,,,,,,No Match
EVT02272,2026-01-08 21:20:00,146.166.133.11,10.0.5.246,Failed Login,No IOC Match,,,,,,,,,No Match
EVT02273,2026-01-08 21:25:00,93.41.192.207,10.0.9.177,DNS Tunneling Detected,No IOC Match,,,,,,,,,No Match
EVT02274,2026-01-08 21:30:00,152.217.246.105,10.0.2.234,Port Scan,No IOC Match,,,,,,,,,No Match
EVT02275,2026-01-08 21:35:00,215.126.150.180,10.0.1.57,Port Scan,No IOC Match,,,,,,,,,No Match
EVT02276,2026-01-08 21:40:00,8.192.97.128,10.0.2.107,Phishing Email,No IOC Match,,,,,,,,,No Match
EVT02277,2026-01-08 21:45:00,199.142.51.186,10.0.1.94,Data Exfiltration Attempt,No IOC Match,,,,,,,,,No Match
EVT02278,2026-01-08 21:50:00,223.32.137.54,10.0.4.88,Web Shell Detected,No IOC Match,,,,,,,,,No Match
