event_type,mitre_id,technique_name,tactic
Privilege Escalation,T1098.004,SSH Authorized Keys,Privilege Escalation
Privilege Escalation,T1098.005,Device Registration,Privilege Escalation
Privilege Escalation,T1098.006,Additional Container Cluster Roles,Privilege Escalation
Privilege Escalation,T1098.007,Additional Local or Domain Groups,Privilege Escalation
Privilege Escalation,T1134,Access Token Manipulation,Privilege Escalation
Privilege Escalation,T1134.001,Token Impersonation/Theft,Privilege Escalation
Privilege Escalation,T1134.002,Create Process with Token,Privilege Escalation
Privilege Escalation,T1134.003,Make and Impersonate Token,Privilege Escalation
Privilege Escalation,T1134.004,Parent PID Spoofing,Privilege Escalation
Privilege Escalation,T1134.005,SID-History Injection,Privilege Escalation
Privilege Escalation,T1484,Domain or Tenant Policy Modification,Privilege Escalation
Privilege Escalation,T1484.001,Group Policy Modification,Privilege Escalation
Privilege Escalation,T1484.002,Trust Modification,Privilege Escalation
Privilege Escalation,T1543,Create or Modify System Process,Privilege Escalation
Privilege Escalation,T1543.001,Launch Agent,Privilege Escalation
Privilege Escalation,T1543.002,Systemd Service,Privilege Escalation
Privilege Escalation,T1543.003,Windows Service,Privilege Escalation
Privilege Escalation,T1543.004,Launch Daemon,Privilege Escalation
Privilege Escalation,T1543.005,Container Service,Privilege Escalation
Privilege Escalation,T1546,Event Triggered Execution,Privilege Escalation
Privilege Escalation,T1546.001,Change Default File Association,Privilege Escalation
Privilege Escalation,T1546.002,Screensaver,Privilege Escalation
Privilege Escalation,T1546.003,Windows Management Instrumentation Event Subscription,Privilege Escalation
Privilege Escalation,T1546.004,Unix Shell Configuration Modification,Privilege Escalation
Privilege Escalation,T1546.005,Trap,Privilege Escalation
Privilege Escalation,T1546.007,Netsh Helper DLL,Privilege Escalation
Privilege Escalation,T1546.008,Accessibility Features,Privilege Escalation
Privilege Escalation,T1546.009,AppCert DLLs,Privilege Escalation
Privilege Escalation,T1546.010,AppInit DLLs,Privilege Escalation
Privilege Escalation,T1546.011,Application Shimming,Privilege Escalation
Privilege Escalation,T1546.012,Image File Execution Options Injection,Privilege Escalation
Privilege Escalation,T1546.013,PowerShell Profile,Privilege Escalation
Privilege Escalation,T1546.015,Component Object Model Hijacking,Privilege Escalation
Privilege Escalation,T1546.016,Installer Packages,Privilege Escalation
Privilege Escalation,T1546.017,Udev Rules,Privilege Escalation
Privilege Escalation,T1546.018,Python Startup Hooks,Privilege Escalation
Privilege Escalation,T1547,Boot or Logon Autostart Execution,Privilege Escalation
Privilege Escalation,T1547.001,Registry Run Keys / Startup Folder,Privilege Escalation
Privilege Escalation,T1547.002,Authentication Package,Privilege Escalation
Privilege Escalation,T1547.003,Time Providers,Privilege Escalation
Privilege Escalation,T1547.004,Winlogon Helper DLL,Privilege Escalation
Privilege Escalation,T1547.005,Security Support Provider,Privilege Escalation
Privilege Escalation,T1547.006,Kernel Modules and Extensions,Privilege Escalation
Privilege Escalation,T1547.007,Re-opened Applications,Privilege Escalation
Privilege Escalation,T1547.008,LSASS Driver,Privilege Escalation
Privilege Escalation,T1547.010,Port Monitors,Privilege Escalation
Privilege Escalation,T1547.012,Print Processors,Privilege Escalation
Privilege Escalation,T1547.013,XDG Autostart Entries,Privilege Escalation
Privilege Escalation,T1547.014,Active Setup,Privilege Escalation
Privilege Escalation,T1547.015,Login Items,Privilege Escalation
Privilege Escalation,T1548,Abuse Elevation Control Mechanism,Privilege Escalation
Privilege Escalation,T1548.001,Setuid and Setgid,Privilege Escalation
Privilege Escalation,T1548.002,Bypass User Account Control,Privilege Escalation
Privilege Escalation,T1548.003,Sudo and Sudo Caching,Privilege Escalation
Privilege Escalation,T1548.004,Elevated Execution with Prompt,Privilege Escalation
Privilege Escalation,T1548.005,Temporary Elevated Cloud Access,Privilege Escalation
Privilege Escalation,T1548.006,TCC Manipulation,Privilege Escalation
Privilege Escalation,T1611,Escape to Host,Privilege Escalation
Ransomware Detected,T1485,Data Destruction,Impact
Ransomware Detected,T1485.001,Lifecycle-Triggered Deletion,Impact
Ransomware Detected,T1489,Service Stop,Impact
Ransomware Detected,T1491,Defacement,Impact
Ransomware Detected,T1491.001,Internal Defacement,Impact
Ransomware Detected,T1491.002,External Defacement,Impact
Ransomware Detected,T1495,Firmware Corruption,Impact
Ransomware Detected,T1496,Resource Hijacking,Impact
Ransomware Detected,T1496.001,Compute Hijacking,Impact
Ransomware Detected,T1496.002,Bandwidth Hijacking,Impact
Ransomware Detected,T1496.003,SMS Pumping,Impact
Ransomware Detected,T1496.004,Cloud Service Hijacking,Impact
Ransomware Detected,T1498,Network Denial of Service,Impact
Ransomware Detected,T1498.001,Direct Network Flood,Impact
Ransomware Detected,T1498.002,Reflection Amplification,Impact
Ransomware Detected,T1499,Endpoint Denial of Service,Impact
Ransomware Detected,T1499.001,OS Exhaustion Flood,Impact
Ransomware Detected,T1499.002,Service Exhaustion Flood,Impact
Ransomware Detected,T1499.003,Application Exhaustion Flood,Impact
Ransomware Detected,T1499.004,Application or System Exploitation,Impact
Ransomware Detected,T1529,System Shutdown/Reboot,Impact
Ransomware Detected,T1531,Account Access Removal,Impact
Ransomware Detected,T1561,Disk Wipe,Impact
Ransomware Detected,T1561.002,Disk Structure Wipe,Impact
Ransomware Detected,T1565,Data Manipulation,Impact
Ransomware Detected,T1565.001,Stored Data Manipulation,Impact
Ransomware Detected,T1565.002,Transmitted Data Manipulation,Impact
Ransomware Detected,T1565.003,Runtime Data Manipulation,Impact
Ransomware Detected,T1667,Email Bombing,Impact
Suspicious Process Execution,T1014,Rootkit,Stealth
Suspicious Process Execution,T1027.001,Binary Padding,Stealth
Suspicious Process Execution,T1027.002,Software Packing,Stealth
Suspicious Process Execution,T1027.004,Compile After Delivery,Stealth
Suspicious Process Execution,T1027.005,Indicator Removal from Tools,Stealth
Suspicious Process Execution,T1027.006,HTML Smuggling,Stealth
Suspicious Process Execution,T1027.007,Dynamic API Resolution,Stealth
Suspicious Process Execution,T1027.008,Stripped Payloads,Stealth
Suspicious Process Execution,T1027.009,Embedded Payloads,Stealth
Suspicious Process Execution,T1027.010,Command Obfuscation,Stealth
Suspicious Process Execution,T1027.011,Fileless Storage,Stealth
Suspicious Process Execution,T1027.012,LNK Icon Smuggling,Stealth
Suspicious Process Execution,T1027.013,Encrypted/Encoded File,Stealth
Suspicious Process Execution,T1027.014,Polymorphic Code,Stealth
Suspicious Process Execution,T1027.015,Compression,Stealth
Suspicious Process Execution,T1027.016,Junk Code Insertion,Stealth
Suspicious Process Execution,T1027.017,SVG Smuggling,Stealth
Suspicious Process Execution,T1027.018,Invisible Unicode,Stealth
Suspicious Process Execution,T1036,Masquerading,Stealth
Suspicious Process Execution,T1036.001,Invalid Code Signature,Stealth
Suspicious Process Execution,T1036.004,Masquerade Task or Service,Stealth
Suspicious Process Execution,T1036.005,Match Legitimate Resource Name or Location,Stealth
Suspicious Process Execution,T1036.006,Space after Filename,Stealth
Suspicious Process Execution,T1036.007,Double File Extension,Stealth
Suspicious Process Execution,T1036.008,Masquerade File Type,Stealth
Suspicious Process Execution,T1036.009,Break Process Trees,Stealth
Suspicious Process Execution,T1036.010,Masquerade Account Name,Stealth
Suspicious Process Execution,T1036.011,Overwrite Process Arguments,Stealth
Suspicious Process Execution,T1036.012,Browser Fingerprint,Stealth
Suspicious Process Execution,T1055,Process Injection,Stealth
Suspicious Process Execution,T1055.001,Dynamic-link Library Injection,Stealth
Suspicious Process Execution,T1055.002,Portable Executable Injection,Stealth
Suspicious Process Execution,T1055.003,Thread Execution Hijacking,Stealth
Suspicious Process Execution,T1055.004,Asynchronous Procedure Call,Stealth
Suspicious Process Execution,T1055.008,Ptrace System Calls,Stealth
Suspicious Process Execution,T1055.009,Proc Memory,Stealth
Suspicious Process Execution,T1055.011,Extra Window Memory Injection,Stealth
Suspicious Process Execution,T1055.012,Process Hollowing,Stealth
Suspicious Process Execution,T1055.013,Process Doppelgänging,Stealth
Suspicious Process Execution,T1055.015,ListPlanting,Stealth
Suspicious Process Execution,T1070.003,Clear Command History,Stealth
Suspicious Process Execution,T1070.004,File Deletion,Stealth
Suspicious Process Execution,T1070.005,Network Share Connection Removal,Stealth
Suspicious Process Execution,T1070.008,Clear Mailbox Data,Stealth
Suspicious Process Execution,T1070.009,Clear Persistence,Stealth
Suspicious Process Execution,T1070.010,Relocate Malware,Stealth
Suspicious Process Execution,T1078,Valid Accounts,Stealth
Suspicious Process Execution,T1078.001,Default Accounts,Stealth
Suspicious Process Execution,T1078.003,Local Accounts,Stealth
Suspicious Process Execution,T1078.004,Cloud Accounts,Stealth
Suspicious Process Execution,T1127,Trusted Developer Utilities Proxy Execution,Stealth
Suspicious Process Execution,T1127.001,MSBuild,Stealth
Suspicious Process Execution,T1127.002,ClickOnce,Stealth
Suspicious Process Execution,T1127.003,JamPlus,Stealth
Suspicious Process Execution,T1134,Access Token Manipulation,Stealth
Suspicious Process Execution,T1134.001,Token Impersonation/Theft,Stealth
Suspicious Process Execution,T1134.002,Create Process with Token,Stealth
Suspicious Process Execution,T1134.003,Make and Impersonate Token,Stealth
Suspicious Process Execution,T1134.004,Parent PID Spoofing,Stealth
Suspicious Process Execution,T1134.005,SID-History Injection,Stealth
Suspicious Process Execution,T1140,Deobfuscate/Decode Files or Information,Stealth
Suspicious Process Execution,T1197,BITS Jobs,Stealth
Suspicious Process Execution,T1202,Indirect Command Execution,Stealth
Suspicious Process Execution,T1205,Traffic Signaling,Stealth
Suspicious Process Execution,T1205.001,Port Knocking,Stealth
Suspicious Process Execution,T1205.002,Socket Filters,Stealth
Suspicious Process Execution,T1211,Exploitation for Stealth,Stealth
Suspicious Process Execution,T1216,System Script Proxy Execution,Stealth
Suspicious Process Execution,T1216.001,PubPrn,Stealth
Suspicious Process Execution,T1216.002,SyncAppvPublishingServer,Stealth
Suspicious Process Execution,T1218.001,Compiled HTML File,Stealth
Suspicious Process Execution,T1218.002,Control Panel,Stealth
Suspicious Process Execution,T1218.003,CMSTP,Stealth
Suspicious Process Execution,T1218.004,InstallUtil,Stealth
Suspicious Process Execution,T1218.005,Mshta,Stealth
Suspicious Process Execution,T1218.007,Msiexec,Stealth
Suspicious Process Execution,T1218.008,Odbcconf,Stealth
Suspicious Process Execution,T1218.009,Regsvcs/Regasm,Stealth
Suspicious Process Execution,T1218.010,Regsvr32,Stealth
Suspicious Process Execution,T1218.012,Verclsid,Stealth
Suspicious Process Execution,T1218.013,Mavinject,Stealth
Suspicious Process Execution,T1218.015,Electron Applications,Stealth
Suspicious Process Execution,T1220,XSL Script Processing,Stealth
Suspicious Process Execution,T1221,Template Injection,Stealth
Suspicious Process Execution,T1480,Execution Guardrails,Stealth
Suspicious Process Execution,T1480.001,Environmental Keying,Stealth
Suspicious Process Execution,T1480.002,Mutual Exclusion,Stealth
Suspicious Process Execution,T1497,Virtualization/Sandbox Evasion,Stealth
Suspicious Process Execution,T1497.001,System Checks,Stealth
Suspicious Process Execution,T1497.002,User Activity Based Checks,Stealth
Suspicious Process Execution,T1497.003,Time Based Checks,Stealth
Suspicious Process Execution,T1535,Unused/Unsupported Cloud Regions,Stealth
Suspicious Process Execution,T1542,Pre-OS Boot,Stealth
Suspicious Process Execution,T1542.001,System Firmware,Stealth
Suspicious Process Execution,T1542.002,Component Firmware,Stealth
Suspicious Process Execution,T1542.003,Bootkit,Stealth
Suspicious Process Execution,T1542.004,ROMMONkit,Stealth
Suspicious Process Execution,T1542.005,TFTP Boot,Stealth
Suspicious Process Execution,T1564,Hide Artifacts,Stealth
Suspicious Process Execution,T1564.001,Hidden Files and Directories,Stealth
Suspicious Process Execution,T1564.002,Hidden Users,Stealth
Suspicious Process Execution,T1564.003,Hidden Window,Stealth
Suspicious Process Execution,T1564.004,NTFS File Attributes,Stealth
Suspicious Process Execution,T1564.005,Hidden File System,Stealth
Suspicious Process Execution,T1564.006,Run Virtual Instance,Stealth
Suspicious Process Execution,T1564.007,VBA Stomping,Stealth
Suspicious Process Execution,T1564.008,Email Hiding Rules,Stealth
Suspicious Process Execution,T1564.009,Resource Forking,Stealth
Suspicious Process Execution,T1564.010,Process Argument Spoofing,Stealth
Suspicious Process Execution,T1564.011,Ignore Process Interrupts,Stealth
Suspicious Process Execution,T1564.012,File/Path Exclusions,Stealth
Suspicious Process Execution,T1564.014,Extended Attributes,Stealth
Suspicious Process Execution,T1574,Hijack Execution Flow,Stealth
Suspicious Process Execution,T1574.001,DLL,Stealth
Suspicious Process Execution,T1574.005,Executable Installer File Permissions Weakness,Stealth
Suspicious Process Execution,T1574.006,Dynamic Linker Hijacking,Stealth
Suspicious Process Execution,T1574.007,Path Interception by PATH Environment Variable,Stealth
Suspicious Process Execution,T1574.008,Path Interception by Search Order Hijacking,Stealth
Suspicious Process Execution,T1574.009,Path Interception by Unquoted Path,Stealth
Suspicious Process Execution,T1574.010,Services File Permissions Weakness,Stealth
Suspicious Process Execution,T1574.012,COR_PROFILER,Stealth
Suspicious Process Execution,T1574.013,KernelCallbackTable,Stealth
Suspicious Process Execution,T1574.014,AppDomainManager,Stealth
Suspicious Process Execution,T1620,Reflective Code Loading,Stealth
Suspicious Process Execution,T1622,Debugger Evasion,Stealth
Suspicious Process Execution,T1678,Delay Execution,Stealth
Suspicious Process Execution,T1684,Social Engineering,Stealth
Suspicious Process Execution,T1684.001,Impersonation,Stealth
Suspicious Process Execution,T1684.002,Email Spoofing,Stealth
