rank,event_id,risk_score_internal,risk_score,risk_level,priority,risk_score_complete,missing_components,component_weight_coverage,asset_criticality_score,reasons,calculated_at,input_severity,input_ml_confidence_raw,input_ml_prediction,input_cvss_score,input_ioc_status,input_ioc_confidence,input_asset_name,input_asset_criticality_label,input_asset_criticality_verified,input_asset_criticality_score_0to1,input_failed_login_attempts,ml_prediction,ioc_status,asset_name,asset_criticality_label,asset_criticality_verified,status
378,EVT00255,0.6698,66.98,High,Investigate Soon,False,['asset_criticality'],0.8,,['High CVSS vulnerability'],2026-09-02T05:58:31.783928+00:00,High,68.14,Normal,8.9,No IOC Match,,FIN-PRT-0054,Unknown,False,,3,Normal,No IOC Match,FIN-PRT-0054,Unknown,False,Open
379,EVT02529,0.6698,66.98,High,Investigate Soon,False,['asset_criticality'],0.8,,['High CVSS vulnerability'],2026-09-02T05:58:31.873075+00:00,Critical,38.33,Normal,9.5,No IOC Match,,FIN-SRV-0096,Unknown,False,,0,Normal,No IOC Match,FIN-SRV-0096,Unknown,False,Open
380,EVT09210,0.6697,66.97,High,Investigate Soon,False,['asset_criticality'],0.8,,['High CVSS vulnerability'],2026-09-02T05:58:32.149982+00:00,High,61.69,Normal,9.7,No IOC Match,,ENG-FW-0100,Unknown,False,,4,Normal,No IOC Match,ENG-FW-0100,Unknown,False,Open
381,EVT06382,0.6695,66.95,High,Investigate Soon,False,['asset_criticality'],0.8,,['High CVSS vulnerability'],2026-09-02T05:58:32.036723+00:00,Critical,47.84,Normal,8.3,No IOC Match,,LEG-IOT-0042,Unknown,False,,0,Normal,No IOC Match,LEG-IOT-0042,Unknown,False,Open
382,EVT07677,0.6695,66.95,High,Investigate Soon,False,['asset_criticality'],0.8,,['High CVSS vulnerability'],2026-09-02T05:58:32.088329+00:00,Critical,38.23,Normal,9.5,No IOC Match,,MKT-RTR-0117,Unknown,False,,0,Normal,No IOC Match,MKT-RTR-0117,Unknown,False,Open
383,EVT09505,0.6695,66.95,High,Investigate Soon,False,['asset_criticality'],0.8,,['High CVSS vulnerability'],2026-09-02T05:58:32.161235+00:00,Critical,41.43,Normal,9.1,No IOC Match,,SAL-LAP-0113,Unknown,False,,0,Normal,No IOC Match,SAL-LAP-0113,Unknown,False,Open
384,EVT00027,0.669,66.9,High,Investigate Soon,False,['asset_criticality'],0.8,,['High CVSS vulnerability'],2026-09-02T05:58:31.774914+00:00,High,63.08,Normal,9.5,No IOC Match,,HR-FW-0141,Unknown,False,,0,Normal,No IOC Match,HR-FW-0141,Unknown,False,Open
385,EVT05942,0.6688,66.88,High,Investigate Soon,False,['asset_criticality'],0.8,,[],2026-09-02T05:58:32.019911+00:00,Critical,59.61,Normal,6.8,No IOC Match,,MKT-SW-0060,Unknown,False,,0,Normal,No IOC Match,MKT-SW-0060,Unknown,False,Open
386,EVT02118,0.6685,66.85,High,Investigate Soon,False,['asset_criticality'],0.8,,[],2026-09-02T05:58:31.857323+00:00,Critical,57.13,Normal,7.1,No IOC Match,,ENG-SW-0037,Unknown,False,,0,Normal,No IOC Match,ENG-SW-0037,Unknown,False,Open
387,EVT09977,0.6681,66.81,High,Investigate Soon,False,['asset_criticality'],0.8,,"['High CVSS vulnerability', 'Multiple failed login attempts']",2026-09-02T05:58:32.179972+00:00,High,65.18,Normal,9.2,No IOC Match,,HR-PC-0079,Unknown,False,,6,Normal,No IOC Match,HR-PC-0079,Unknown,False,Open
388,EVT04304,0.6678,66.78,High,Investigate Soon,True,[],1.0,0.75,['High CVSS vulnerability'],2026-09-02T05:58:31.947095+00:00,High,56.11,Normal,9.5,No IOC Match,,HR-LAP-0014,High,True,0.75,4,Normal,No IOC Match,HR-LAP-0014,High,True,Open
389,EVT06252,0.6678,66.78,High,Investigate Soon,False,['asset_criticality'],0.8,,['High CVSS vulnerability'],2026-09-02T05:58:32.031597+00:00,Critical,37.71,Normal,9.5,No IOC Match,,HR-SW-0092,Unknown,False,,0,Normal,No IOC Match,HR-SW-0092,Unknown,False,Open
390,EVT06822,0.6678,66.78,High,Investigate Soon,False,['asset_criticality'],0.8,,['High CVSS vulnerability'],2026-09-02T05:58:32.055275+00:00,Critical,44.9,Normal,8.6,No IOC Match,,SAL-IOT-0029,Unknown,False,,0,Normal,No IOC Match,SAL-IOT-0029,Unknown,False,Open
391,EVT07223,0.6675,66.75,High,Investigate Soon,False,['asset_criticality'],0.8,,['High CVSS vulnerability'],2026-09-02T05:58:32.070349+00:00,Critical,40.79,Normal,9.1,No IOC Match,,SAL-DB-0062,Unknown,False,,0,Normal,No IOC Match,SAL-DB-0062,Unknown,False,Open
392,EVT07036,0.667,66.7,High,Investigate Soon,False,['asset_criticality'],0.8,,['High CVSS vulnerability'],2026-09-02T05:58:32.063627+00:00,Critical,40.64,Normal,9.1,No IOC Match,,IT-SRV-0039,Unknown,False,,0,Normal,No IOC Match,IT-SRV-0039,Unknown,False,Open
393,EVT09531,0.6669,66.69,High,Investigate Soon,False,['asset_criticality'],0.8,,['High CVSS vulnerability'],2026-09-02T05:58:32.162181+00:00,Critical,44.61,Normal,8.6,No IOC Match,,LEG-PC-0070,Unknown,False,,0,Normal,No IOC Match,LEG-PC-0070,Unknown,False,Open
394,EVT00611,0.6668,66.68,High,Investigate Soon,False,['asset_criticality'],0.8,,[],2026-09-02T05:58:31.797491+00:00,Critical,58.18,Normal,6.9,No IOC Match,,HR-IOT-0111,Unknown,False,,0,Normal,No IOC Match,HR-IOT-0111,Unknown,False,Open
395,EVT06335,0.6666,66.66,High,Investigate Soon,False,['asset_criticality'],0.8,,['Multiple failed login attempts'],2026-09-02T05:58:32.034599+00:00,Critical,77.31,Suspicious,4.5,No IOC Match,,LEG-SW-0120,Unknown,False,,8,Suspicious,No IOC Match,LEG-SW-0120,Unknown,False,Open
396,EVT03192,0.6664,66.64,High,Investigate Soon,False,['asset_criticality'],0.8,,['High CVSS vulnerability'],2026-09-02T05:58:31.904000+00:00,Critical,42.04,Normal,8.9,No IOC Match,,IT-IOT-0005,Unknown,False,,0,Normal,No IOC Match,IT-IOT-0005,Unknown,False,Open
397,EVT06955,0.6664,66.64,High,Investigate Soon,False,['asset_criticality'],0.8,,['High CVSS vulnerability'],2026-09-02T05:58:32.060432+00:00,High,60.65,Normal,9.7,No IOC Match,,ENG-PC-0001,Unknown,False,,2,Normal,No IOC Match,ENG-PC-0001,Unknown,False,Open
398,EVT04380,0.6663,66.63,High,Investigate Soon,False,['asset_criticality'],0.8,,"['High CVSS vulnerability', 'Multiple failed login attempts']",2026-09-02T05:58:31.950245+00:00,High,67.03,Normal,8.9,No IOC Match,,ENG-RTR-0059,Unknown,False,,7,Normal,No IOC Match,ENG-RTR-0059,Unknown,False,Open
399,EVT05019,0.666,66.6,High,Investigate Soon,False,['asset_criticality'],0.8,,"['High ML confidence', 'High CVSS vulnerability', 'Multiple failed login attempts']",2026-09-02T05:58:31.977979+00:00,Medium,89.51,Suspicious,9.2,No IOC Match,,SAL-SW-0093,Unknown,False,,8,Suspicious,No IOC Match,SAL-SW-0093,Unknown,False,Open
400,EVT05098,0.6659,66.59,High,Investigate Soon,False,['asset_criticality'],0.8,,['High CVSS vulnerability'],2026-09-02T05:58:31.981197+00:00,Critical,36.29,Normal,9.6,No IOC Match,,ENG-SW-0088,Unknown,False,,0,Normal,No IOC Match,ENG-SW-0088,Unknown,False,Open
401,EVT06866,0.6654,66.54,High,Investigate Soon,False,['asset_criticality'],0.8,,['Multiple failed login attempts'],2026-09-02T05:58:32.056868+00:00,Critical,69.73,Suspicious,5.4,No IOC Match,,IT-PRT-0094,Unknown,False,,8,Suspicious,No IOC Match,IT-PRT-0094,Unknown,False,Open
402,EVT07389,0.6654,66.54,High,Investigate Soon,False,['asset_criticality'],0.8,,"['High ML confidence', 'High CVSS vulnerability', 'Multiple failed login attempts']",2026-09-02T05:58:32.077120+00:00,Medium,85.33,Suspicious,9.7,No IOC Match,,MKT-LAP-0035,Unknown,False,,6,Suspicious,No IOC Match,MKT-LAP-0035,Unknown,False,Open
403,EVT02891,0.6652,66.52,High,Investigate Soon,False,['asset_criticality'],0.8,,['Multiple failed login attempts'],2026-09-02T05:58:31.891584+00:00,Critical,68.05,Normal,5.6,No IOC Match,,MKT-MOB-0002,Unknown,False,,8,Normal,No IOC Match,MKT-MOB-0002,Unknown,False,Open
404,EVT09245,0.6652,66.52,High,Investigate Soon,False,['asset_criticality'],0.8,,['High CVSS vulnerability'],2026-09-02T05:58:32.151562+00:00,Critical,40.85,Normal,9.0,No IOC Match,,LEG-IOT-0057,Unknown,False,,1,Normal,No IOC Match,LEG-IOT-0057,Unknown,False,Open
405,EVT03617,0.6649,66.49,High,Investigate Soon,False,['asset_criticality'],0.8,,[],2026-09-02T05:58:31.921312+00:00,Critical,49.57,Normal,7.9,No IOC Match,,ENG-MOB-0101,Unknown,False,,0,Normal,No IOC Match,ENG-MOB-0101,Unknown,False,Open
406,EVT05869,0.6649,66.49,High,Investigate Soon,False,['asset_criticality'],0.8,,['High CVSS vulnerability'],2026-09-02T05:58:32.017301+00:00,Critical,42.36,Normal,8.8,No IOC Match,,IT-PRT-0077,Unknown,False,,0,Normal,No IOC Match,IT-PRT-0077,Unknown,False,Open
407,EVT04368,0.6648,66.48,High,Investigate Soon,False,['asset_criticality'],0.8,,['High CVSS vulnerability'],2026-09-02T05:58:31.949800+00:00,Critical,44.72,Normal,8.5,No IOC Match,,SAL-SW-0027,Unknown,False,,0,Normal,No IOC Match,SAL-SW-0027,Unknown,False,Open
408,EVT00279,0.6645,66.45,High,Investigate Soon,False,['asset_criticality'],0.8,,['High CVSS vulnerability'],2026-09-02T05:58:31.784780+00:00,High,57.65,Normal,10.0,No IOC Match,,LEG-IOT-0002,Unknown,False,,4,Normal,No IOC Match,LEG-IOT-0002,Unknown,False,Open
409,EVT03747,0.6645,66.45,High,Investigate Soon,False,['asset_criticality'],0.8,,['Multiple failed login attempts'],2026-09-02T05:58:31.925941+00:00,Critical,56.65,Normal,7.0,No IOC Match,,IT-FW-0081,Unknown,False,,6,Normal,No IOC Match,IT-FW-0081,Unknown,False,Open
410,EVT06339,0.6642,66.42,High,Investigate Soon,True,[],1.0,0.5,[],2026-09-02T05:58:32.035108+00:00,Critical,66.48,Suspicious,7.4,No IOC Match,,HR-RTR-0038,Medium,True,0.5,0,Suspicious,No IOC Match,HR-RTR-0038,Medium,True,Open
411,EVT05387,0.664,66.4,High,Investigate Soon,False,['asset_criticality'],0.8,,[],2026-09-02T05:58:31.994990+00:00,Critical,51.69,Normal,7.6,No IOC Match,,MKT-DB-0018,Unknown,False,,4,Normal,No IOC Match,MKT-DB-0018,Unknown,False,Open
412,EVT03733,0.6639,66.39,High,Investigate Soon,False,['asset_criticality'],0.8,,"['High CVSS vulnerability', 'Multiple failed login attempts']",2026-09-02T05:58:31.925458+00:00,High,64.65,Normal,9.1,No IOC Match,,IT-MOB-0118,Unknown,False,,8,Normal,No IOC Match,IT-MOB-0118,Unknown,False,Open
413,EVT00783,0.6638,66.38,High,Investigate Soon,False,['asset_criticality'],0.8,,['High CVSS vulnerability'],2026-09-02T05:58:31.804846+00:00,Critical,41.22,Normal,8.9,No IOC Match,,HR-RTR-0100,Unknown,False,,0,Normal,No IOC Match,HR-RTR-0100,Unknown,False,Open
414,EVT08560,0.6638,66.38,High,Investigate Soon,False,['asset_criticality'],0.8,,"['High CVSS vulnerability', 'Multiple failed login attempts']",2026-09-02T05:58:32.123775+00:00,High,67.01,Normal,8.8,No IOC Match,,ENG-LAP-0052,Unknown,False,,8,Normal,No IOC Match,ENG-LAP-0052,Unknown,False,Open
415,EVT09965,0.6636,66.36,High,Investigate Soon,False,['asset_criticality'],0.8,,[],2026-09-02T05:58:32.179192+00:00,Critical,53.94,Normal,7.3,No IOC Match,,LEG-RTR-0019,Unknown,False,,0,Normal,No IOC Match,LEG-RTR-0019,Unknown,False,Open
416,EVT04104,0.6635,66.35,High,Investigate Soon,False,['asset_criticality'],0.8,,"['High ML confidence', 'High CVSS vulnerability', 'Multiple failed login attempts']",2026-09-02T05:58:31.939121+00:00,Medium,85.53,Suspicious,9.6,No IOC Match,,IT-RTR-0003,Unknown,False,,7,Suspicious,No IOC Match,IT-RTR-0003,Unknown,False,Open
417,EVT04692,0.6634,66.34,High,Investigate Soon,False,['asset_criticality'],0.8,,['High CVSS vulnerability'],2026-09-02T05:58:31.962722+00:00,Critical,43.5,Normal,8.6,No IOC Match,,MKT-LAP-0087,Unknown,False,,0,Normal,No IOC Match,MKT-LAP-0087,Unknown,False,Open
418,EVT00608,0.6633,66.33,High,Investigate Soon,False,['asset_criticality'],0.8,,['Multiple failed login attempts'],2026-09-02T05:58:31.797369+00:00,Critical,62.66,Normal,6.2,No IOC Match,,SAL-SRV-0024,Unknown,False,,6,Normal,No IOC Match,SAL-SRV-0024,Unknown,False,Open
419,EVT01510,0.6633,66.33,High,Investigate Soon,False,['asset_criticality'],0.8,,"['High CVSS vulnerability', 'Multiple failed login attempts']",2026-09-02T05:58:31.831339+00:00,High,71.67,Normal,8.2,No IOC Match,,LEG-LAP-0112,Unknown,False,,8,Normal,No IOC Match,LEG-LAP-0112,Unknown,False,Open
420,EVT06865,0.6632,66.32,High,Investigate Soon,False,['asset_criticality'],0.8,,['High CVSS vulnerability'],2026-09-02T05:58:32.056826+00:00,High,61.24,Normal,9.5,No IOC Match,,FIN-DB-0048,Unknown,False,,4,Normal,No IOC Match,FIN-DB-0048,Unknown,False,Open
421,EVT07026,0.6631,66.31,High,Investigate Soon,False,['asset_criticality'],0.8,,['High CVSS vulnerability'],2026-09-02T05:58:32.063254+00:00,Critical,38.6,Normal,9.2,No IOC Match,,SAL-IOT-0033,Unknown,False,,0,Normal,No IOC Match,SAL-IOT-0033,Unknown,False,Open
422,EVT02605,0.6628,66.28,High,Investigate Soon,False,['asset_criticality'],0.8,,['High CVSS vulnerability'],2026-09-02T05:58:31.876050+00:00,High,65.1,Normal,9.0,No IOC Match,,FIN-PC-0028,Unknown,False,,0,Normal,No IOC Match,FIN-PC-0028,Unknown,False,Open
423,EVT04595,0.6628,66.28,High,Investigate Soon,False,['asset_criticality'],0.8,,"['High ML confidence', 'High CVSS vulnerability', 'Multiple failed login attempts']",2026-09-02T05:58:31.958702+00:00,Medium,87.69,Suspicious,9.3,No IOC Match,,SAL-SW-0087,Unknown,False,,8,Suspicious,No IOC Match,SAL-SW-0087,Unknown,False,Open
424,EVT06440,0.6628,66.28,High,Investigate Soon,False,['asset_criticality'],0.8,,"['High CVSS vulnerability', 'Multiple failed login attempts']",2026-09-02T05:58:32.039091+00:00,High,64.29,Normal,9.1,No IOC Match,,OPS-RTR-0040,Unknown,False,,8,Normal,No IOC Match,OPS-RTR-0040,Unknown,False,Open
425,EVT04000,0.6624,66.24,High,Investigate Soon,False,['asset_criticality'],0.8,,"['High CVSS vulnerability', 'Multiple failed login attempts']",2026-09-02T05:58:31.935387+00:00,High,59.38,Normal,9.7,No IOC Match,,MKT-IOT-0082,Unknown,False,,6,Normal,No IOC Match,MKT-IOT-0082,Unknown,False,Open
426,EVT05614,0.6624,66.24,High,Investigate Soon,False,['asset_criticality'],0.8,,['High CVSS vulnerability'],2026-09-02T05:58:32.007879+00:00,High,62.57,Normal,9.3,No IOC Match,,IT-IOT-0045,Unknown,False,,4,Normal,No IOC Match,IT-IOT-0045,Unknown,False,Open
427,EVT06026,0.6624,66.24,High,Investigate Soon,True,[],1.0,0.5,['High CVSS vulnerability'],2026-09-02T05:58:32.023075+00:00,Critical,47.38,Normal,9.7,No IOC Match,,ENG-PC-0091,Medium,True,0.5,0,Normal,No IOC Match,ENG-PC-0091,Medium,True,Open
428,EVT02057,0.6623,66.23,High,Investigate Soon,False,['asset_criticality'],0.8,,[],2026-09-02T05:58:31.854157+00:00,Critical,58.34,Normal,6.7,No IOC Match,,ENG-SRV-0069,Unknown,False,,0,Normal,No IOC Match,ENG-SRV-0069,Unknown,False,Open
429,EVT00385,0.6621,66.21,High,Investigate Soon,False,['asset_criticality'],0.8,,['High CVSS vulnerability'],2026-09-02T05:58:31.788561+00:00,High,66.48,Suspicious,8.8,No IOC Match,,SAL-PC-0046,Unknown,False,,0,Suspicious,No IOC Match,SAL-PC-0046,Unknown,False,Open
430,EVT07325,0.6619,66.19,High,Investigate Soon,False,['asset_criticality'],0.8,,[],2026-09-02T05:58:32.074845+00:00,Critical,56.6,Normal,6.9,No IOC Match,,HR-FW-0079,Unknown,False,,0,Normal,No IOC Match,HR-FW-0079,Unknown,False,Open
431,EVT08021,0.6619,66.19,High,Investigate Soon,False,['asset_criticality'],0.8,,['Multiple failed login attempts'],2026-09-02T05:58:32.102788+00:00,Critical,69.41,Suspicious,5.3,No IOC Match,,HR-RTR-0089,Unknown,False,,8,Suspicious,No IOC Match,HR-RTR-0089,Unknown,False,Open
432,EVT09393,0.6618,66.18,High,Investigate Soon,False,['asset_criticality'],0.8,,['High CVSS vulnerability'],2026-09-02T05:58:32.157171+00:00,Critical,41.36,Normal,8.8,No IOC Match,,HR-RTR-0023,Unknown,False,,0,Normal,No IOC Match,HR-RTR-0023,Unknown,False,Open
433,EVT02069,0.6616,66.16,High,Investigate Soon,False,['asset_criticality'],0.8,,['High CVSS vulnerability'],2026-09-02T05:58:31.854731+00:00,High,63.1,Normal,9.2,No IOC Match,,ENG-SRV-0108,Unknown,False,,0,Normal,No IOC Match,ENG-SRV-0108,Unknown,False,Open
434,EVT02143,0.6614,66.14,High,Investigate Soon,False,['asset_criticality'],0.8,,"['High CVSS vulnerability', 'Multiple failed login attempts']",2026-09-02T05:58:31.858521+00:00,High,63.86,Normal,9.1,No IOC Match,,FIN-LAP-0041,Unknown,False,,8,Normal,No IOC Match,FIN-LAP-0041,Unknown,False,Open
435,EVT04890,0.6614,66.14,High,Investigate Soon,False,['asset_criticality'],0.8,,['High CVSS vulnerability'],2026-09-02T05:58:31.971260+00:00,High,63.86,Normal,9.1,No IOC Match,,IT-SRV-0112,Unknown,False,,0,Normal,No IOC Match,IT-SRV-0112,Unknown,False,Open
436,EVT05103,0.6613,66.13,High,Investigate Soon,False,['asset_criticality'],0.8,,['High CVSS vulnerability'],2026-09-02T05:58:31.981368+00:00,Critical,39.6,Normal,9.0,No IOC Match,,FIN-SW-0040,Unknown,False,,0,Normal,No IOC Match,FIN-SW-0040,Unknown,False,Open
437,EVT09757,0.6611,66.11,High,Investigate Soon,False,['asset_criticality'],0.8,,['Multiple failed login attempts'],2026-09-02T05:58:32.170921+00:00,Critical,57.14,Normal,6.8,No IOC Match,,IT-MOB-0095,Unknown,False,,6,Normal,No IOC Match,IT-MOB-0095,Unknown,False,Open
438,EVT02618,0.661,66.1,High,Investigate Soon,False,['asset_criticality'],0.8,,[],2026-09-02T05:58:31.876526+00:00,Critical,48.33,Normal,7.9,No IOC Match,,OPS-FW-0083,Unknown,False,,0,Normal,No IOC Match,OPS-FW-0083,Unknown,False,Open
439,EVT08984,0.6607,66.07,High,Investigate Soon,False,['asset_criticality'],0.8,,['High CVSS vulnerability'],2026-09-02T05:58:32.141048+00:00,Critical,43.44,Normal,8.5,No IOC Match,,ENG-IOT-0016,Unknown,False,,0,Normal,No IOC Match,ENG-IOT-0016,Unknown,False,Open
440,EVT02317,0.6605,66.05,High,Investigate Soon,False,['asset_criticality'],0.8,,['High CVSS vulnerability'],2026-09-02T05:58:31.864831+00:00,High,65.17,Normal,8.9,No IOC Match,,LEG-RTR-0063,Unknown,False,,2,Normal,No IOC Match,LEG-RTR-0063,Unknown,False,Open
441,EVT08069,0.6605,66.05,High,Investigate Soon,False,['asset_criticality'],0.8,,['High CVSS vulnerability'],2026-09-02T05:58:32.105036+00:00,High,61.95,Normal,9.3,No IOC Match,,HR-MOB-0042,Unknown,False,,0,Normal,No IOC Match,HR-MOB-0042,Unknown,False,Open
442,EVT04265,0.6601,66.01,High,Investigate Soon,False,['asset_criticality'],0.8,,['High CVSS vulnerability'],2026-09-02T05:58:31.945697+00:00,High,57.02,Normal,9.9,No IOC Match,,MKT-PC-0048,Unknown,False,,2,Normal,No IOC Match,MKT-PC-0048,Unknown,False,Open
443,EVT06376,0.6601,66.01,High,Investigate Soon,False,['asset_criticality'],0.8,,"['High CVSS vulnerability', 'Multiple failed login attempts']",2026-09-02T05:58:32.036511+00:00,High,65.02,Normal,8.9,No IOC Match,,OPS-RTR-0045,Unknown,False,,7,Normal,No IOC Match,OPS-RTR-0045,Unknown,False,Open
444,EVT03505,0.6599,65.99,High,Investigate Soon,True,[],1.0,0.75,['High CVSS vulnerability'],2026-09-02T05:58:31.917076+00:00,Critical,39.96,Normal,8.0,No IOC Match,,IT-RTR-0004,High,True,0.75,0,Normal,No IOC Match,IT-RTR-0004,High,True,Open
445,EVT01945,0.6598,65.98,High,Investigate Soon,False,['asset_criticality'],0.8,,['High CVSS vulnerability'],2026-09-02T05:58:31.848712+00:00,Critical,41.53,Normal,8.7,No IOC Match,,SAL-PC-0052,Unknown,False,,0,Normal,No IOC Match,SAL-PC-0052,Unknown,False,Open
446,EVT02078,0.6596,65.96,High,Investigate Soon,False,['asset_criticality'],0.8,,"['High CVSS vulnerability', 'Multiple failed login attempts']",2026-09-02T05:58:31.855044+00:00,High,64.87,Normal,8.9,No IOC Match,,MKT-SW-0092,Unknown,False,,6,Normal,No IOC Match,MKT-SW-0092,Unknown,False,Open
447,EVT09842,0.6592,65.92,High,Investigate Soon,False,['asset_criticality'],0.8,,[],2026-09-02T05:58:32.173958+00:00,Critical,49.36,Normal,7.7,No IOC Match,,HR-DB-0111,Unknown,False,,3,Normal,No IOC Match,HR-DB-0111,Unknown,False,Open
448,EVT02206,0.6591,65.91,High,Investigate Soon,False,['asset_criticality'],0.8,,['High CVSS vulnerability'],2026-09-02T05:58:31.860749+00:00,Critical,46.12,Normal,8.1,No IOC Match,,ENG-SW-0021,Unknown,False,,0,Normal,No IOC Match,ENG-SW-0021,Unknown,False,Open
449,EVT09388,0.6591,65.91,High,Investigate Soon,False,['asset_criticality'],0.8,,['High CVSS vulnerability'],2026-09-02T05:58:32.156999+00:00,High,56.71,Normal,9.9,No IOC Match,,HR-SRV-0050,Unknown,False,,2,Normal,No IOC Match,HR-SRV-0050,Unknown,False,Open
450,EVT09518,0.6591,65.91,High,Investigate Soon,False,['asset_criticality'],0.8,,['High CVSS vulnerability'],2026-09-02T05:58:32.161699+00:00,Critical,45.3,Normal,8.2,No IOC Match,,IT-SRV-0048,Unknown,False,,3,Normal,No IOC Match,IT-SRV-0048,Unknown,False,Open
451,EVT05269,0.6588,65.88,High,Investigate Soon,False,['asset_criticality'],0.8,,[],2026-09-02T05:58:31.987916+00:00,Critical,61.21,Suspicious,6.2,No IOC Match,,OPS-MOB-0062,Unknown,False,,0,Suspicious,No IOC Match,OPS-MOB-0062,Unknown,False,Open
452,EVT01035,0.6586,65.86,High,Investigate Soon,False,['asset_criticality'],0.8,,['Multiple failed login attempts'],2026-09-02T05:58:31.813835+00:00,High,78.14,Suspicious,7.2,No IOC Match,,FIN-MOB-0011,Unknown,False,,6,Suspicious,No IOC Match,FIN-MOB-0011,Unknown,False,Open
453,EVT07521,0.6586,65.86,High,Investigate Soon,False,['asset_criticality'],0.8,,['High CVSS vulnerability'],2026-09-02T05:58:32.082479+00:00,High,58.95,Normal,9.6,No IOC Match,,MKT-SW-0052,Unknown,False,,4,Normal,No IOC Match,MKT-SW-0052,Unknown,False,Open
454,EVT05756,0.6582,65.82,High,Investigate Soon,False,['asset_criticality'],0.8,,['High CVSS vulnerability'],2026-09-02T05:58:32.013149+00:00,Critical,41.04,Normal,8.7,No IOC Match,,MKT-DB-0121,Unknown,False,,0,Normal,No IOC Match,MKT-DB-0121,Unknown,False,Open
455,EVT08731,0.6581,65.81,High,Investigate Soon,False,['asset_criticality'],0.8,,['High CVSS vulnerability'],2026-09-02T05:58:32.130323+00:00,High,62.8,Normal,9.1,No IOC Match,,FIN-SW-0022,Unknown,False,,0,Normal,No IOC Match,FIN-SW-0022,Unknown,False,Open
456,EVT09807,0.658,65.8,High,Investigate Soon,False,['asset_criticality'],0.8,,[],2026-09-02T05:58:32.172713+00:00,High,73.97,Suspicious,7.7,No IOC Match,,ENG-SW-0022,Unknown,False,,3,Suspicious,No IOC Match,ENG-SW-0022,Unknown,False,Open
457,EVT07653,0.6577,65.77,High,Investigate Soon,False,['asset_criticality'],0.8,,['High CVSS vulnerability'],2026-09-02T05:58:32.087485+00:00,High,64.28,Normal,8.9,No IOC Match,,MKT-SW-0121,Unknown,False,,0,Normal,No IOC Match,MKT-SW-0121,Unknown,False,Open
458,EVT02320,0.6573,65.73,High,Investigate Soon,False,['asset_criticality'],0.8,,['Multiple failed login attempts'],2026-09-02T05:58:31.864943+00:00,High,72.15,Normal,7.9,No IOC Match,,ENG-SRV-0135,Unknown,False,,5,Normal,No IOC Match,ENG-SRV-0135,Unknown,False,Open
459,EVT02447,0.6573,65.73,High,Investigate Soon,False,['asset_criticality'],0.8,,['High CVSS vulnerability'],2026-09-02T05:58:31.869706+00:00,Critical,39.94,Normal,8.8,No IOC Match,,HR-SW-0105,Unknown,False,,0,Normal,No IOC Match,HR-SW-0105,Unknown,False,Open
460,EVT06640,0.6573,65.73,High,Investigate Soon,False,['asset_criticality'],0.8,,['Multiple failed login attempts'],2026-09-02T05:58:32.048081+00:00,Critical,63.93,Normal,5.8,No IOC Match,,IT-SW-0013,Unknown,False,,8,Normal,No IOC Match,IT-SW-0013,Unknown,False,Open
461,EVT09430,0.6573,65.73,High,Investigate Soon,False,['asset_criticality'],0.8,,['High CVSS vulnerability'],2026-09-02T05:58:32.158541+00:00,Critical,41.52,Normal,8.6,No IOC Match,,MKT-RTR-0015,Unknown,False,,0,Normal,No IOC Match,MKT-RTR-0015,Unknown,False,Open
462,EVT03958,0.6572,65.72,High,Investigate Soon,False,['asset_criticality'],0.8,,[],2026-09-02T05:58:31.933366+00:00,Critical,58.29,Normal,6.5,No IOC Match,,IT-LAP-0027,Unknown,False,,0,Normal,No IOC Match,IT-LAP-0027,Unknown,False,Open
463,EVT05461,0.6571,65.71,High,Investigate Soon,False,['asset_criticality'],0.8,,['High CVSS vulnerability'],2026-09-02T05:58:32.001181+00:00,Critical,45.46,Normal,8.1,No IOC Match,,OPS-PC-0033,Unknown,False,,0,Normal,No IOC Match,OPS-PC-0033,Unknown,False,Open
464,EVT03756,0.657,65.7,High,Investigate Soon,False,['asset_criticality'],0.8,,['High CVSS vulnerability'],2026-09-02T05:58:31.926277+00:00,Critical,36.64,Normal,9.2,No IOC Match,,IT-FW-0071,Unknown,False,,0,Normal,No IOC Match,IT-FW-0071,Unknown,False,Open
465,EVT05532,0.657,65.7,High,Investigate Soon,False,['asset_criticality'],0.8,,[],2026-09-02T05:58:32.004572+00:00,Critical,54.24,Normal,7.0,No IOC Match,,MKT-FW-0060,Unknown,False,,0,Normal,No IOC Match,MKT-FW-0060,Unknown,False,Open
466,EVT00060,0.6569,65.69,High,Investigate Soon,False,['asset_criticality'],0.8,,[],2026-09-02T05:58:31.776137+00:00,Critical,50.2,Normal,7.5,No IOC Match,,MKT-SW-0076,Unknown,False,,0,Normal,No IOC Match,MKT-SW-0076,Unknown,False,Open
467,EVT09001,0.6568,65.68,High,Investigate Soon,False,['asset_criticality'],0.8,,['High CVSS vulnerability'],2026-09-02T05:58:32.141672+00:00,High,59.18,Normal,9.5,No IOC Match,,ENG-PRT-0098,Unknown,False,,2,Normal,No IOC Match,ENG-PRT-0098,Unknown,False,Open
